alert_queue_rank,product_id,year_month,region_id,region,target_month,next_month_risk_label,split,split_row_number,model_scope,actual_risk_label_num,actual_risk_label,predicted_risk_label_num,predicted_risk_label,prob_low_risk,prob_medium_risk,high_risk_probability,high_risk_probability_pct,risk_score,risk_score_0_10,selected_high_risk_threshold,is_any_risk_alert,is_high_risk_alert,is_false_alarm,is_missed_high_risk,product_line,product_category,product_name,lifecycle_stage,units_sold,revenue,unique_customers,avg_discount_pct,market_demand_index,competitor_pressure_index,stockout_flag,backorder_units,campaign_flag,website_visits,demo_requests,estimated_gross_profit,estimated_gross_margin_pct,product_unit_share_category_region,unit_share_change_pct,risk_factor_under_trend,risk_factor_volatility,risk_factor_sales_drop,risk_factor_customer_drop,supply_pressure_score,customer_count_growth_pct,market_tailwind_score,high_competition_flag,margin_gap_vs_target,campaign_active_with_no_sales,commercial_pressure_score,demand_supply_mismatch_flag,revenue_at_risk_proxy,model_explained_class,model_explained_class_probability,model_explained_class_base_probability,model_high_risk_base_probability,model_driver_1,model_driver_1_contribution_pp,model_driver_1_direction,model_driver_2,model_driver_2_contribution_pp,model_driver_2_direction,model_driver_3,model_driver_3_contribution_pp,model_driver_3_direction,model_driver_4,model_driver_4_contribution_pp,model_driver_4_direction,model_driver_5,model_driver_5_contribution_pp,model_driver_5_direction,business_risk_indicators,risk_drivers,recommended_action,business_indicator_count,monitoring_priority,review_rank_within_split
1,1148,2025-12-01,7,Eastern EU,2026-01-01,,scoring,1487,refit_model_current_scoring,,,2,High Risk,0.014923970382705258,0.03469369890517415,0.9503823307121201,95.038233071212,95.0,9.67729180164707,0.39,1,1,,,Services,Legacy Workstation,Legacy Workstation Model 09,Decline,60.0,42573.31,2.0,0.1165,,,0,0.0,False,184,0,6533.709999999999,0.1534696268624638,0.1566579634464752,,0,0,0,0,10.0,,10.0,,-0.0265303731375361,0,2.0,,851.4662,High Risk,0.9503823307121201,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.234249145081896,increases predicted class probability,Rolling Revenue Mean 3M,4.343455243188637,increases predicted class probability,Rolling Units Mean 3M,4.222748956943221,increases predicted class probability,Rolling Units Std 3M,3.792024621446758,increases predicted class probability,Customers Lag 1M,3.740766809015502,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,1
2,1106,2025-12-01,10,Northern EU,2026-01-01,,scoring,1061,refit_model_current_scoring,,,2,High Risk,0.016064692194836878,0.037435712180562665,0.9464995956246001,94.64995956246001,94.6,9.652174517148813,0.39,1,1,,,Accessories,Industrial Scanner,Industrial Scanner Model 07,Decline,73.0,82426.52,2.0,0.1765,,,0,0.0,False,263,3,16678.34000000001,0.2023419161696989,0.2172619047619047,,0,0,0,0,10.0,,10.0,,-0.1376580838303011,0,2.0,,1648.5304,High Risk,0.9464995956246001,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.592849521814989,increases predicted class probability,Rolling Units Mean 3M,4.804381151619194,increases predicted class probability,Rolling Revenue Mean 3M,4.714161346325462,increases predicted class probability,Rolling Units Std 3M,3.638413223649114,increases predicted class probability,Customers Lag 1M,3.6165371707568768,increases predicted class probability,Supply pressure; Margin below target,Supply pressure; Margin below target,"Review stock, replenishment, and supplier lead times immediately",2,1,2
3,1040,2025-12-01,10,Northern EU,2026-01-01,,scoring,401,refit_model_current_scoring,,,2,High Risk,0.02134293163761809,0.04328727247655294,0.9353697958858288,93.53697958858288,93.5,9.570134321241053,0.39,1,1,,,IT,Tablet Enterprise,Tablet Enterprise Model 01,Decline,171.0,51726.6,2.0,0.146,,,0,0.0,False,255,9,6586.019999999997,0.1273236593938128,0.1642651296829971,,0,0,0,0,10.0,,10.0,,-0.1426763406061872,0,2.0,,1034.532,High Risk,0.9353697958858288,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.340648882765235,increases predicted class probability,Rolling Units Mean 3M,4.802289892357946,increases predicted class probability,Rolling Revenue Mean 3M,4.544048236656441,increases predicted class probability,Rolling Units Std 3M,3.985784873799072,increases predicted class probability,Customers Lag 1M,3.726961397200384,increases predicted class probability,Supply pressure; Margin below target,Supply pressure; Margin below target,"Review stock, replenishment, and supplier lead times immediately",2,1,3
4,1148,2025-12-01,10,Northern EU,2026-01-01,,scoring,1481,refit_model_current_scoring,,,2,High Risk,0.022623969699343553,0.04751427550272095,0.9298617547979349,92.98617547979349,93.0,9.536188925492954,0.39,1,1,,,Services,Legacy Workstation,Legacy Workstation Model 09,Decline,31.0,21881.29,1.0,0.078,,,0,0.0,False,201,1,3260.8300000000017,0.1490236635957021,0.0903790087463556,,0,0,0,0,10.0,,10.0,,-0.0309763364042978,0,2.0,,437.6258,High Risk,0.9298617547979349,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.641393502936653,increases predicted class probability,Rolling Units Mean 3M,4.807705516199729,increases predicted class probability,Rolling Revenue Mean 3M,4.5167663778929015,increases predicted class probability,Rolling Units Std 3M,4.058547805861609,increases predicted class probability,Customers Lag 1M,3.7342657273514703,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,4
5,1148,2025-12-01,2,Western EU,2026-01-01,,scoring,1482,refit_model_current_scoring,,,2,High Risk,0.023870186484350603,0.05070826193139114,0.9254215515842583,92.54215515842583,92.5,9.50775682549954,0.39,1,1,,,Services,Legacy Workstation,Legacy Workstation Model 09,Decline,156.0,100216.87,3.0,0.1546666666666666,,,0,0.0,False,173,1,6513.910000000004,0.0649981385369549,0.1593462717058222,,0,0,0,0,10.0,,10.0,,-0.115001861463045,0,2.0,,2004.3374,High Risk,0.9254215515842583,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,6.294051790786239,increases predicted class probability,Rolling Units Mean 3M,4.985615807710866,increases predicted class probability,Rolling Revenue Mean 3M,4.9295289775231526,increases predicted class probability,Rolling Units Std 3M,4.819995698373322,increases predicted class probability,Unit Share Lag 1M,3.780376427170715,increases predicted class probability,Supply pressure; Margin below target,Supply pressure; Margin below target,"Review stock, replenishment, and supplier lead times immediately",2,1,5
6,1153,2025-12-01,10,Northern EU,2026-01-01,,scoring,1531,refit_model_current_scoring,,,2,High Risk,0.019206202594462603,0.05569358639383497,0.9251002110117021,92.51002110117021,92.5,9.529470042086196,0.39,1,1,,,Services,Legacy Workstation,Legacy Workstation Model 14,Decline,97.0,61095.91,1.0,0.204,,,0,0.0,False,208,2,6841.869999999995,0.1119857286682528,0.282798833819242,,0,0,0,0,10.0,,10.0,,-0.0680142713317471,0,2.0,,1221.9182,High Risk,0.9251002110117021,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.31748596278784,increases predicted class probability,Rolling Revenue Mean 3M,4.418844252036265,increases predicted class probability,Rolling Units Mean 3M,4.367013748810008,increases predicted class probability,Rolling Units Std 3M,4.090511068067857,increases predicted class probability,Customers Lag 1M,3.740766809015502,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,6
7,1159,2025-12-01,7,Eastern EU,2026-01-01,,scoring,1597,refit_model_current_scoring,,,2,High Risk,0.032915682233136616,0.0629170170791484,0.904167300687715,90.4167300687715,90.4,9.356258092272892,0.39,1,1,,,Services,Legacy Workstation,Legacy Workstation Model 20,Decline,33.0,23475.62,1.0,0.108,,,0,0.0,False,236,0,3844.25,0.1637549934783405,0.0861618798955613,,0,0,0,0,10.0,,10.0,,-0.0162450065216594,0,2.0,,469.5124,High Risk,0.904167300687715,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.349230517322415,increases predicted class probability,Rolling Revenue Mean 3M,4.530442566004105,increases predicted class probability,Rolling Units Mean 3M,4.50210280993223,increases predicted class probability,Rolling Units Std 3M,4.1597403721187085,increases predicted class probability,Customers Lag 1M,3.6100360890928447,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,7
8,1044,2025-12-01,10,Northern EU,2026-01-01,,scoring,441,refit_model_current_scoring,,,2,High Risk,0.03373544582908225,0.08808358365185881,0.8781809705190594,87.81809705190594,87.8,9.22222762344989,0.39,1,1,,,IT,Tablet Enterprise,Tablet Enterprise Model 05,Decline,77.0,31815.85,1.0,0.085,,,0,0.0,False,306,1,10687.05,0.3359033312012723,0.073967339097022,,0,0,0,0,10.0,,10.0,,0.0659033312012722,0,2.0,,636.317,High Risk,0.8781809705190594,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.206232803506191,increases predicted class probability,Rolling Units Mean 3M,5.128080057663899,increases predicted class probability,Rolling Revenue Mean 3M,5.11497826622709,increases predicted class probability,Rolling Units Std 3M,4.065972319743575,increases predicted class probability,Customers Lag 1M,3.5947522056667216,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,8
9,1010,2025-12-01,7,Eastern EU,2026-01-01,,scoring,107,refit_model_current_scoring,,,2,High Risk,0.044932471460485165,0.08120114286296869,0.8738663856765465,87.38663856765466,87.4,9.144669571080309,0.39,1,1,,,IT,Laptop Pro,Laptop Pro Model 11,Decline,78.0,52668.66,2.0,0.1109999999999999,,,0,0.0,False,393,0,10716.36,0.2034674890152891,0.0885357548240635,,0,0,0,0,10.0,,10.0,,-0.0865325109847108,0,2.0,,1053.3732,High Risk,0.8738663856765465,0.3333333333333305,0.3333333333333305,Rolling Revenue Std 3M,5.6869708005236355,increases predicted class probability,Rolling Units Mean 3M,5.23586771689838,increases predicted class probability,Rolling Revenue Mean 3M,4.79458537249425,increases predicted class probability,Rolling Units Std 3M,4.632290356918423,increases predicted class probability,Customers Lag 1M,3.6703035925395042,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,9
10,1023,2025-12-01,10,Northern EU,2026-01-01,,scoring,231,refit_model_current_scoring,,,2,High Risk,0.03151727182380428,0.09991734377112373,0.8685653844050724,86.85653844050724,86.9,9.185240562906342,0.39,1,1,,,IT,Laptop Standard,Laptop Standard Model 04,Mature,98.0,60835.11,2.0,0.087,,,0,0.0,False,227,2,17455.410000000003,0.2869298666510179,0.1116173120728929,,0,0,0,0,10.0,,10.0,,0.0469298666510178,0,2.0,,1216.7022,High Risk,0.8685653844050724,0.3333333333333305,0.3333333333333305,Rolling Units Mean 3M,5.751864247822704,increases predicted class probability,Rolling Revenue Std 3M,5.578464950667959,increases predicted class probability,Rolling Revenue Mean 3M,5.372936882636364,increases predicted class probability,Rolling Units Std 3M,4.505133345604402,increases predicted class probability,Customers Lag 1M,3.7732323249072706,increases predicted class probability,Supply pressure,Supply pressure,"Review stock, replenishment, and supplier lead times immediately",1,1,10
