model,split,decision_rule,threshold,accuracy,balanced_accuracy,macro_f1,weighted_f1,high_risk_recall,high_risk_precision,high_risk_f1,high_risk_f2,false_alarm_rate,alert_rate,high_risk_alert_rate,high_risk_tp,high_risk_fp,high_risk_fn,high_risk_tn,macro_roc_auc_ovr,macro_pr_auc,high_risk_pr_auc,log_loss,any_risk_alert_rate
balanced_medium,valid,high_risk_threshold,0.001,0.27825,0.4836522012184952,0.258825978060005,0.3850878852863711,1.0,0.0401048492791612,0.0771169354838709,0.1728032527671109,0.7069043176114793,0.7153125,0.7153125,459,10986,0,4555,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7829375
balanced_medium,valid,high_risk_threshold,0.001055,0.281875,0.4866904151069368,0.2627369108561347,0.3893982798005757,1.0,0.0404120443740095,0.0776846915460776,0.1739427012278308,0.7013062222508204,0.709875,0.709875,459,10899,0,4642,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7808125
balanced_medium,valid,high_risk_threshold,0.001162,0.288375,0.4918301979959612,0.2690975586875462,0.3968236189900292,1.0,0.0409894624040007,0.0787509650853564,0.1760779499769832,0.6910108744611029,0.699875,0.699875,459,10739,0,4802,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7764375
balanced_medium,valid,high_risk_threshold,0.001278,0.2955,0.4974798086425269,0.2761240546075212,0.4050727500954642,1.0,0.0415798532475767,0.0798399721690728,0.178252427184466,0.6807798725950711,0.6899375,0.6899375,459,10580,0,4961,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7720625
balanced_medium,valid,high_risk_threshold,0.001435,0.3011875,0.5012815818100109,0.2811936631504159,0.4110854452793296,0.9978213507625272,0.0421033278176135,0.0807973890800035,0.1801164071102721,0.6704845248053536,0.679875,0.679875,458,10420,1,5121,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7679375
balanced_medium,valid,high_risk_threshold,0.001634,0.3076875,0.5062995453569817,0.2870258607349091,0.4181277128751305,0.9978213507625272,0.0427198955321332,0.0819320214669051,0.1823684000955642,0.6603822147866932,0.6700625,0.6700625,458,10263,1,5278,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7635625
balanced_medium,valid,high_risk_threshold,0.001939,0.314,0.5114691089318241,0.2929237128059496,0.4247297097518119,0.9978213507625272,0.0433712121212121,0.0831291405753698,0.1847370119393352,0.6500225210732901,0.66,0.66,458,10102,1,5439,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.75925
balanced_medium,valid,high_risk_threshold,0.002218,0.3205625,0.5168019971623318,0.2989253394339711,0.431633868833397,0.9978213507625272,0.0440384615384615,0.084353992080302,0.187152664269369,0.6397271732835725,0.65,0.65,458,9942,1,5599,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7553125
balanced_medium,valid,high_risk_threshold,0.002585,0.326625,0.5213615651606457,0.3037451261941894,0.4376055075249988,0.9978213507625272,0.0447265625,0.0856154780820637,0.1896323285856244,0.629431825493855,0.64,0.64,458,9782,1,5759,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.75075
balanced_medium,valid,high_risk_threshold,0.002982,0.3326875,0.5260835589483644,0.3087059233328544,0.4435307856348948,0.9978213507625272,0.045432000793572,0.0869070208728652,0.1921624569942099,0.6192008236278231,0.6300625,0.6300625,458,9623,1,5918,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7465
balanced_medium,valid,high_risk_threshold,0.00339,0.3395625,0.5314074191498602,0.3144508595902684,0.4504449019175089,0.9978213507625272,0.0461693548387096,0.0882551305520763,0.1947941476692752,0.60884112991442,0.62,0.62,458,9462,1,6079,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.741875
balanced_medium,valid,high_risk_threshold,0.00375,0.3465,0.5369649911401901,0.3204133044276356,0.4573666591397828,0.9978213507625272,0.0469262295081967,0.0896369507779626,0.1974818903070024,0.5985457821247024,0.61,0.61,458,9302,1,6239,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7375
balanced_medium,valid,high_risk_threshold,0.003983,0.3535625,0.5424621028926238,0.3262144416241923,0.4643452009351907,0.9978213507625272,0.0477083333333333,0.0910627298936276,0.2002448408534452,0.5882504343349849,0.6,0.6,458,9142,1,6399,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.733
balanced_medium,valid,high_risk_threshold,0.004205,0.3606875,0.5480305006444871,0.3320100327183198,0.4713121637693215,0.9978213507625272,0.0485169491525423,0.0925345994544903,0.2030862007804185,0.5779550865452674,0.59,0.59,458,8982,1,6559,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.728625
balanced_medium,valid,high_risk_threshold,0.004422,0.3665,0.5529140213553498,0.3366758547123453,0.4763905495846682,0.9978213507625272,0.049353448275862,0.0940548310914878,0.2060093558834113,0.5676597387555499,0.58,0.58,458,8822,1,6719,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7249375
balanced_medium,valid,high_risk_threshold,0.004625,0.3718125,0.5571866476234238,0.3404347994270018,0.4807246797465896,0.9978213507625272,0.0502248053514639,0.0956358321152641,0.209036969420356,0.5573000450421466,0.5699375,0.5699375,458,8661,1,6880,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.721375
balanced_medium,valid,high_risk_threshold,0.004872,0.378,0.561924166812506,0.3455794633421746,0.486281436281236,0.9956427015250544,0.0510044642857142,0.0970379021127508,0.2116524638755094,0.5471333890998006,0.56,0.56,457,8503,2,7038,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.718375
balanced_medium,valid,high_risk_threshold,0.005144,0.384,0.5666560874954975,0.3498887011106744,0.4913851492644556,0.9956427015250544,0.0519318181818181,0.0987147640133923,0.2148364046634073,0.5368380413100831,0.55,0.55,457,8343,2,7198,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7145
balanced_medium,valid,high_risk_threshold,0.005396,0.39025,0.571267087702696,0.3541036543092472,0.4967384798248011,0.9956427015250544,0.0528935185185185,0.1004505989669194,0.2181176021382207,0.5265426935203655,0.54,0.54,457,8183,2,7358,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.71
balanced_medium,valid,high_risk_threshold,0.005725,0.3965625,0.57615240614608,0.3586070882462397,0.5020467041052366,0.9956427015250544,0.0538915094339622,0.1022485736659581,0.2215005816207832,0.516247345730648,0.53,0.53,457,8023,2,7518,0.860306258127567,0.6777671776087776,0.5373356545658131,0.5768629197278955,0.7054375
