split,predicted_risk_label,rows,avg_high_risk_probability,avg_risk_score,avg_risk_score_0_10,high_risk_alerts,false_alarms,missed_high_risks
scoring,High Risk,77,0.6909107102013932,69.08701298701298,7.8308674638113756,77,,
scoring,Low Risk,985,0.019737826288662448,1.9724873096446702,1.503834836122564,0,,
scoring,Medium Risk,938,0.023902712640675436,2.39136460554371,3.4542763484123853,0,,
test,High Risk,1077,0.6543561558676972,65.43500464252553,7.6255743290422835,1077,613,0
test,Low Risk,11070,0.017935405472872024,1.7921138211382115,1.3707544450538451,0,0,69
test,Medium Risk,7853,0.027019848363303813,2.701413472558258,3.4676525077047957,0,0,38
train,High Risk,6120,0.7872514344021541,78.72437908496732,8.525498788589367,6120,2533,0
train,Low Risk,35890,0.006663940624673882,0.6649456673168014,0.6765726676108264,0,0,1
train,Medium Risk,21270,0.026284905926942236,2.627569346497414,3.7562498018028583,0,0,6
valid,High Risk,922,0.6698297711773814,66.98362255965293,7.714111976160707,922,508,0
valid,Low Risk,8787,0.017181036325837066,1.7165016501650165,1.3494142822073918,0,0,31
valid,Medium Risk,6291,0.026037299423415514,2.603512955015101,3.473266671964163,0,0,14
