split,target_month,rows,actual_high_risk_rows,predicted_high_risk_alerts,true_positive_high_risks,false_positive_high_risks,missed_high_risks,average_high_risk_probability,high_risk_recall,high_risk_precision
test,2025-03-01,2000,43,68,29,39,14,0.04083680367957122,0.6744186046511628,0.4264705882352941
test,2025-04-01,2000,63,107,46,61,17,0.05826220679520907,0.7301587301587301,0.42990654205607476
test,2025-05-01,2000,61,111,53,58,8,0.05536014836510991,0.8688524590163934,0.4774774774774775
test,2025-06-01,2000,63,111,53,58,10,0.05871785331960422,0.8412698412698413,0.4774774774774775
test,2025-07-01,2000,58,93,50,43,8,0.05218563829990829,0.8620689655172413,0.5376344086021505
test,2025-08-01,2000,50,88,38,50,12,0.04884809619957774,0.76,0.4318181818181818
test,2025-09-01,2000,47,103,38,65,9,0.052188144329106734,0.8085106382978723,0.36893203883495146
test,2025-10-01,2000,58,158,52,106,6,0.07302265506647457,0.896551724137931,0.3291139240506329
test,2025-11-01,2000,74,135,62,73,12,0.06714693596939865,0.8378378378378378,0.45925925925925926
test,2025-12-01,2000,54,103,43,60,11,0.05116821180165366,0.7962962962962963,0.4174757281553398
train,2021-02-01,1100,0,0,0,0,0,0.00025714327290105325,,
train,2021-03-01,1100,0,0,0,0,0,0.0036688140689017236,,
train,2021-04-01,1100,117,147,117,30,0,0.12445499993428843,1.0,0.7959183673469388
train,2021-05-01,1100,102,138,102,36,0,0.11972229500847047,1.0,0.7391304347826086
train,2021-06-01,1100,131,175,131,44,0,0.14941411131255256,1.0,0.7485714285714286
train,2021-07-01,1100,114,156,114,42,0,0.1301646740419314,1.0,0.7307692307692307
train,2021-08-01,1100,90,131,90,41,0,0.11038553328171512,1.0,0.6870229007633588
train,2021-09-01,1100,101,145,101,44,0,0.12063844814169708,1.0,0.696551724137931
train,2021-10-01,1100,108,163,108,55,0,0.13742343551163158,1.0,0.6625766871165644
train,2021-11-01,1100,107,187,107,80,0,0.15358821678662593,1.0,0.5721925133689839
train,2021-12-01,1100,105,161,105,56,0,0.13390744726325918,1.0,0.6521739130434783
train,2022-01-01,1100,101,161,101,60,0,0.1351416819269151,1.0,0.6273291925465838
train,2022-02-01,1490,69,120,69,51,0,0.07111010170311599,1.0,0.575
train,2022-03-01,1490,94,140,94,46,0,0.08649015611515978,1.0,0.6714285714285714
train,2022-04-01,1490,140,215,140,75,0,0.12880412249258452,1.0,0.6511627906976745
train,2022-05-01,1490,107,194,107,87,0,0.11917321195149712,1.0,0.5515463917525774
train,2022-06-01,1490,119,194,119,75,0,0.1172016945561727,1.0,0.6134020618556701
train,2022-07-01,1490,114,178,114,64,0,0.10877796846760951,1.0,0.6404494382022472
train,2022-08-01,1490,83,133,83,50,0,0.08368786259357147,1.0,0.6240601503759399
train,2022-09-01,1490,103,195,103,92,0,0.11458523945071455,1.0,0.5282051282051282
train,2022-10-01,1490,109,206,108,98,1,0.12228586504598998,0.9908256880733946,0.5242718446601942
train,2022-11-01,1490,128,239,128,111,0,0.14149162042541083,1.0,0.5355648535564853
train,2022-12-01,1490,83,170,82,88,1,0.10215730999614908,0.9879518072289156,0.4823529411764706
train,2023-01-01,1490,71,143,71,72,0,0.08906338708371928,1.0,0.4965034965034965
train,2023-02-01,1850,75,139,75,64,0,0.06559414442765475,1.0,0.539568345323741
train,2023-03-01,1850,74,133,74,59,0,0.06808258356622428,1.0,0.556390977443609
train,2023-04-01,1850,102,186,102,84,0,0.0913029054017657,1.0,0.5483870967741935
train,2023-05-01,1850,112,189,111,78,1,0.0930193486272713,0.9910714285714286,0.5873015873015873
train,2023-06-01,1850,89,168,89,79,0,0.08190309563833169,1.0,0.5297619047619048
train,2023-07-01,1850,90,166,90,76,0,0.07884055295443747,1.0,0.5421686746987951
train,2023-08-01,1850,85,161,85,76,0,0.07738243857894601,1.0,0.5279503105590062
train,2023-09-01,1850,78,178,78,100,0,0.08461612423804749,1.0,0.43820224719101125
train,2023-10-01,1850,81,188,80,108,1,0.08729998140162032,0.9876543209876543,0.425531914893617
train,2023-11-01,1850,112,201,110,91,2,0.09668369567224946,0.9821428571428571,0.5472636815920398
train,2023-12-01,1850,55,115,55,60,0,0.059448182221404404,1.0,0.4782608695652174
train,2024-01-01,1850,55,93,55,38,0,0.052763451779067855,1.0,0.5913978494623656
train,2024-02-01,2000,42,84,42,42,0,0.0423361883306562,1.0,0.5
train,2024-03-01,2000,62,98,61,37,1,0.049815880056231665,0.9838709677419355,0.6224489795918368
train,2024-04-01,2000,67,124,67,57,0,0.058457370641456605,1.0,0.5403225806451613
train,2024-05-01,2000,67,106,67,39,0,0.05754946321409446,1.0,0.6320754716981132
train,2024-06-01,2000,52,100,52,48,0,0.05076960688710982,1.0,0.52
valid,2024-07-01,2000,66,107,57,50,9,0.0539806186734765,0.8636363636363636,0.5327102803738317
valid,2024-08-01,2000,63,122,58,64,5,0.06084697633560889,0.9206349206349206,0.47540983606557374
valid,2024-09-01,2000,53,114,48,66,5,0.05979438075644157,0.9056603773584906,0.42105263157894735
valid,2024-10-01,2000,75,163,69,94,6,0.07692089877581981,0.92,0.4233128834355828
valid,2024-11-01,2000,63,147,60,87,3,0.0696202723517483,0.9523809523809523,0.40816326530612246
valid,2024-12-01,2000,51,102,49,53,2,0.05093864752753829,0.9607843137254902,0.4803921568627451
valid,2025-01-01,2000,43,94,36,58,7,0.049970611740694004,0.8372093023255814,0.3829787234042553
valid,2025-02-01,2000,45,73,37,36,8,0.04410432678536412,0.8222222222222222,0.5068493150684932
