split,split_row_number,product_id,region_id,year_month,driver_rank,feature,feature_label,explained_class_num,explained_class,explained_class_probability,contribution_to_explained_class_probability,contribution_to_high_risk_probability,contribution_percentage_points,direction
scoring,0,1000,1,2025-12-01,1,customer_share_category_region,Customer Share Category Region,0,Low Risk,0.6108320956161225,0.03375133490783531,-0.005578047878379366,3.3751334907835306,increases predicted class probability
scoring,0,1000,1,2025-12-01,2,units_vs_6m_avg_pct,Units Vs 6M Avg Pct,0,Low Risk,0.6108320956161225,0.031355139014473773,0.01549730602613311,3.135513901447377,increases predicted class probability
scoring,0,1000,1,2025-12-01,3,revenue_percentile_category_region,Revenue Percentile Category Region,0,Low Risk,0.6108320956161225,0.028479651910063745,0.0022460973122971936,2.8479651910063746,increases predicted class probability
scoring,0,1000,1,2025-12-01,4,unit_rank_category_region,Unit Rank Category Region,0,Low Risk,0.6108320956161225,0.022789045338805873,0.0008984223299332215,2.278904533880587,increases predicted class probability
scoring,0,1000,1,2025-12-01,5,order_count,Order Count,0,Low Risk,0.6108320956161225,-0.021424312181655438,0.008214482411656841,-2.1424312181655436,decreases predicted class probability
scoring,1,1000,10,2025-12-01,1,volatility_3m,Volatility 3M,1,Medium Risk,0.5386027974945988,0.10930751740281802,-0.17876906644439727,10.930751740281803,increases predicted class probability
scoring,1,1000,10,2025-12-01,2,revenue_volatility_3m,Revenue Volatility 3M,1,Medium Risk,0.5386027974945988,0.07596997114248269,-0.12475716873896542,7.596997114248269,increases predicted class probability
scoring,1,1000,10,2025-12-01,3,risk_factor_volatility,Risk Factor Volatility,1,Medium Risk,0.5386027974945988,0.03871305876662006,-0.05887356267637526,3.871305876662006,increases predicted class probability
scoring,1,1000,10,2025-12-01,4,trend_slope_6m,Trend Slope 6M,1,Medium Risk,0.5386027974945988,0.03341303324778903,-0.061634167037411064,3.341303324778903,increases predicted class probability
scoring,1,1000,10,2025-12-01,5,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.5386027974945988,-0.031738019908227125,0.045589631079792504,-3.1738019908227124,decreases predicted class probability
scoring,2,1000,2,2025-12-01,1,customer_share_category_region,Customer Share Category Region,0,Low Risk,0.7101952949403004,0.08206951708305452,-0.011910832223654513,8.206951708305452,increases predicted class probability
scoring,2,1000,2,2025-12-01,2,unit_share_lag_1m,Unit Share Lag 1M,0,Low Risk,0.7101952949403004,0.022475073357239167,-0.04492455574942421,2.247507335723917,increases predicted class probability
scoring,2,1000,2,2025-12-01,3,units_lag_1m,Units Lag 1M,0,Low Risk,0.7101952949403004,0.020620198016909806,-0.04700681828567113,2.0620198016909805,increases predicted class probability
scoring,2,1000,2,2025-12-01,4,customer_count_growth_pct,Customer Count Growth Pct,0,Low Risk,0.7101952949403004,0.01993621166563686,0.011860771552167118,1.993621166563686,increases predicted class probability
scoring,2,1000,2,2025-12-01,5,units_vs_6m_avg_pct,Units Vs 6M Avg Pct,0,Low Risk,0.7101952949403004,-0.018390713519524076,-0.005256045061354011,-1.8390713519524076,decreases predicted class probability
scoring,3,1000,3,2025-12-01,1,units_lag_1m,Units Lag 1M,1,Medium Risk,0.6326138188990569,0.03210522113224997,-0.04266311097021511,3.210522113224997,increases predicted class probability
scoring,3,1000,3,2025-12-01,2,customers_lag_1m,Customers Lag 1M,1,Medium Risk,0.6326138188990569,0.03139467287102413,-0.04419717614410561,3.139467287102413,increases predicted class probability
scoring,3,1000,3,2025-12-01,3,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.6326138188990569,0.03047264236429649,-0.04380729458526766,3.047264236429649,increases predicted class probability
scoring,3,1000,3,2025-12-01,4,revenue_lag_1m,Revenue Lag 1M,1,Medium Risk,0.6326138188990569,0.022309123865003517,-0.028063940909598836,2.2309123865003517,increases predicted class probability
scoring,3,1000,3,2025-12-01,5,customer_count_growth_pct,Customer Count Growth Pct,1,Medium Risk,0.6326138188990569,0.021851556020752814,-0.015104966886305048,2.1851556020752816,increases predicted class probability
scoring,4,1000,4,2025-12-01,1,customer_share_category_region,Customer Share Category Region,0,Low Risk,0.7402729796047582,0.056571838311114585,-0.01798036578564624,5.657183831111459,increases predicted class probability
scoring,4,1000,4,2025-12-01,2,revenue_percentile_category_region,Revenue Percentile Category Region,0,Low Risk,0.7402729796047582,0.03825098185319875,-0.00852656293622094,3.825098185319875,increases predicted class probability
scoring,4,1000,4,2025-12-01,3,product_unit_share_category_region,Product Unit Share Category Region,0,Low Risk,0.7402729796047582,0.029560010156529353,-0.012775907283150199,2.9560010156529355,increases predicted class probability
scoring,4,1000,4,2025-12-01,4,product_revenue_share_category_region,Product Revenue Share Category Region,0,Low Risk,0.7402729796047582,0.027773823147876527,-0.01203048168432195,2.7773823147876526,increases predicted class probability
scoring,4,1000,4,2025-12-01,5,trend_slope_3m,Trend Slope 3M,0,Low Risk,0.7402729796047582,0.025916375370005993,-0.045699548210156246,2.5916375370005995,increases predicted class probability
scoring,5,1000,5,2025-12-01,1,volatility_3m,Volatility 3M,1,Medium Risk,0.5570167223285404,0.10239423150533472,-0.16429514606372592,10.239423150533472,increases predicted class probability
scoring,5,1000,5,2025-12-01,2,revenue_volatility_3m,Revenue Volatility 3M,1,Medium Risk,0.5570167223285404,0.07797301515651982,-0.12553472504350222,7.797301515651982,increases predicted class probability
scoring,5,1000,5,2025-12-01,3,trend_slope_6m,Trend Slope 6M,1,Medium Risk,0.5570167223285404,0.048081131970228626,-0.07120889339499768,4.8081131970228626,increases predicted class probability
scoring,5,1000,5,2025-12-01,4,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.5570167223285404,-0.03430467615306437,0.04751891021456042,-3.430467615306437,decreases predicted class probability
scoring,5,1000,5,2025-12-01,5,rolling_units_mean_3m,Rolling Units Mean 3M,1,Medium Risk,0.5570167223285404,0.03320780707044131,-0.05356988485957696,3.3207807070441313,increases predicted class probability
scoring,6,1000,6,2025-12-01,1,customers_lag_1m,Customers Lag 1M,1,Medium Risk,0.6465133994946749,0.03493485005038862,-0.050124076427548174,3.493485005038862,increases predicted class probability
scoring,6,1000,6,2025-12-01,2,units_lag_1m,Units Lag 1M,1,Medium Risk,0.6465133994946749,0.029508362678104347,-0.04351364597818158,2.9508362678104345,increases predicted class probability
scoring,6,1000,6,2025-12-01,3,customer_count_growth_pct,Customer Count Growth Pct,1,Medium Risk,0.6465133994946749,0.028036939428784196,-0.020491437629131075,2.8036939428784198,increases predicted class probability
scoring,6,1000,6,2025-12-01,4,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.6465133994946749,0.02590760975297119,-0.04375615566238533,2.590760975297119,increases predicted class probability
scoring,6,1000,6,2025-12-01,5,customer_share_category_region,Customer Share Category Region,1,Medium Risk,0.6465133994946749,0.024053435906298038,0.002898381222567071,2.405343590629804,increases predicted class probability
scoring,7,1000,7,2025-12-01,1,units_lag_3m,Units Lag 3M,0,Low Risk,0.7982271404412911,0.07490902789751926,-0.0010119275114679265,7.490902789751925,increases predicted class probability
scoring,7,1000,7,2025-12-01,2,revenue,Revenue,0,Low Risk,0.7982271404412911,0.03481906424541663,-0.023626825108553302,3.4819064245416627,increases predicted class probability
scoring,7,1000,7,2025-12-01,3,revenue_at_risk_proxy,Revenue At Risk Proxy,0,Low Risk,0.7982271404412911,0.03309197430612512,-0.02293463795950002,3.309197430612512,increases predicted class probability
scoring,7,1000,7,2025-12-01,4,rolling_units_cv_6m,Rolling Units Cv 6M,0,Low Risk,0.7982271404412911,0.030092459517295316,-0.0012947213855159705,3.0092459517295316,increases predicted class probability
scoring,7,1000,7,2025-12-01,5,order_count,Order Count,0,Low Risk,0.7982271404412911,0.02727088684933095,-0.017096852313568042,2.727088684933095,increases predicted class probability
scoring,8,1000,8,2025-12-01,1,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.7241166945054764,0.034863376187493786,-0.04442677143307496,3.4863376187493786,increases predicted class probability
scoring,8,1000,8,2025-12-01,2,customers_lag_1m,Customers Lag 1M,1,Medium Risk,0.7241166945054764,0.0322758033349493,-0.04387259452105929,3.2275803334949305,increases predicted class probability
scoring,8,1000,8,2025-12-01,3,units_lag_1m,Units Lag 1M,1,Medium Risk,0.7241166945054764,0.030343605354792472,-0.04555001169603138,3.034360535479247,increases predicted class probability
scoring,8,1000,8,2025-12-01,4,units_vs_6m_avg_pct,Units Vs 6M Avg Pct,1,Medium Risk,0.7241166945054764,0.028300592113033908,-0.004154684708992925,2.8300592113033907,increases predicted class probability
scoring,8,1000,8,2025-12-01,5,revenue_lag_1m,Revenue Lag 1M,1,Medium Risk,0.7241166945054764,0.02407705978450087,-0.030051822321395468,2.4077059784500867,increases predicted class probability
scoring,9,1000,9,2025-12-01,1,customer_share_category_region,Customer Share Category Region,0,Low Risk,0.6377085466999824,0.047562214593525026,-0.010028887803804088,4.756221459352503,increases predicted class probability
scoring,9,1000,9,2025-12-01,2,volatility_3m,Volatility 3M,0,Low Risk,0.6377085466999824,0.018843280623997292,-0.029296690675546563,1.8843280623997292,increases predicted class probability
scoring,9,1000,9,2025-12-01,3,units_lag_1m,Units Lag 1M,0,Low Risk,0.6377085466999824,0.016573542731687377,-0.0496321897731159,1.6573542731687378,increases predicted class probability
scoring,9,1000,9,2025-12-01,4,customer_count_growth_pct,Customer Count Growth Pct,0,Low Risk,0.6377085466999824,0.015197174256354052,0.003598272914665024,1.5197174256354051,increases predicted class probability
scoring,9,1000,9,2025-12-01,5,category_region_customers,Category Region Customers,0,Low Risk,0.6377085466999824,0.01511960880520882,-0.0016742273105509729,1.511960880520882,increases predicted class probability
scoring,10,1001,1,2025-12-01,1,customer_share_category_region,Customer Share Category Region,0,Low Risk,0.5346126748053662,0.04823016763978718,-0.034755258628175634,4.823016763978718,increases predicted class probability
scoring,10,1001,1,2025-12-01,2,revenue_percentile_category_region,Revenue Percentile Category Region,0,Low Risk,0.5346126748053662,0.047193069826573536,-0.019532988886014208,4.719306982657353,increases predicted class probability
scoring,10,1001,1,2025-12-01,3,trend_slope_6m,Trend Slope 6M,0,Low Risk,0.5346126748053662,0.04406771137900062,-0.09960800847375958,4.406771137900062,increases predicted class probability
scoring,10,1001,1,2025-12-01,4,revenue_volatility_3m,Revenue Volatility 3M,0,Low Risk,0.5346126748053662,0.03701966100749742,-0.09409629479270586,3.701966100749742,increases predicted class probability
scoring,10,1001,1,2025-12-01,5,volatility_3m,Volatility 3M,0,Low Risk,0.5346126748053662,0.033813292272956666,-0.08103104361105953,3.3813292272956668,increases predicted class probability
scoring,11,1001,10,2025-12-01,1,revenue_volatility_3m,Revenue Volatility 3M,1,Medium Risk,0.8065130110955476,0.07866217871320406,0.001251122614257912,7.866217871320407,increases predicted class probability
scoring,11,1001,10,2025-12-01,2,risk_factor_volatility,Risk Factor Volatility,1,Medium Risk,0.8065130110955476,0.06549085299630152,0.0002120483148804014,6.549085299630152,increases predicted class probability
scoring,11,1001,10,2025-12-01,3,volatility_3m,Volatility 3M,1,Medium Risk,0.8065130110955476,0.05696675111835446,0.003703421268188228,5.696675111835446,increases predicted class probability
scoring,11,1001,10,2025-12-01,4,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.8065130110955476,0.04870944461830717,-0.02137547326782181,4.8709444618307165,increases predicted class probability
scoring,11,1001,10,2025-12-01,5,units_lag_1m,Units Lag 1M,1,Medium Risk,0.8065130110955476,0.03513663666755402,-0.015457476829774252,3.5136636667554018,increases predicted class probability
scoring,12,1001,2,2025-12-01,1,revenue_percentile_category_region,Revenue Percentile Category Region,0,Low Risk,0.4943967162633475,0.02474837392197214,-0.0014464317842211537,2.474837392197214,increases predicted class probability
scoring,12,1001,2,2025-12-01,2,unit_rank_category_region,Unit Rank Category Region,0,Low Risk,0.4943967162633475,0.021487360755053177,0.00607458685826642,2.1487360755053175,increases predicted class probability
scoring,12,1001,2,2025-12-01,3,customer_share_category_region,Customer Share Category Region,0,Low Risk,0.4943967162633475,-0.017216070904239236,0.01707515571276369,-1.7216070904239236,decreases predicted class probability
scoring,12,1001,2,2025-12-01,4,order_count,Order Count,0,Low Risk,0.4943967162633475,-0.014877486993167257,0.002743710981365284,-1.4877486993167257,decreases predicted class probability
scoring,12,1001,2,2025-12-01,5,units_acceleration_3m,Units Acceleration 3M,0,Low Risk,0.4943967162633475,0.013642143580746313,0.035983558337683706,1.3642143580746313,increases predicted class probability
scoring,13,1001,3,2025-12-01,1,customer_share_category_region,Customer Share Category Region,1,Medium Risk,0.5492248269329303,-0.0708984227308412,-0.013129852521174457,-7.08984227308412,decreases predicted class probability
scoring,13,1001,3,2025-12-01,2,customers_lag_1m,Customers Lag 1M,1,Medium Risk,0.5492248269329303,0.030285156328262494,-0.042555402226117665,3.0285156328262492,increases predicted class probability
scoring,13,1001,3,2025-12-01,3,unit_share_lag_1m,Unit Share Lag 1M,1,Medium Risk,0.5492248269329303,0.02916296301839361,-0.045578610983042236,2.916296301839361,increases predicted class probability
scoring,13,1001,3,2025-12-01,4,units_lag_1m,Units Lag 1M,1,Medium Risk,0.5492248269329303,0.027162849839059207,-0.03968228041462494,2.7162849839059207,increases predicted class probability
