cost_id,year_month,product_id,standard_unit_cost_eur,actual_unit_cost_eur,cost_variance_eur,cost_variance_pct
1936,2021-10-01,1135,52.23,52.72,0.49,0.009381581466590082
6495,2023-09-01,1094,517.93,534.69,16.76,0.03235958527214102
1721,2021-09-01,1120,65.86,62.76,-3.1,-0.047069541451563925
9121,2024-10-01,1120,71.75,74.06,2.31,0.03219512195121951
361,2021-02-01,1160,56.57,54.44,-2.13,-0.03765246597136291
9664,2025-01-01,1063,95.88,102.66,6.78,0.0707133917396746
5278,2023-03-01,1077,92.2,93.12,0.92,0.009978308026030369
8547,2024-07-01,1146,552.13,578.28,26.15,0.047362034303515474
2222,2021-12-01,1021,523.62,554.69,31.07,0.0593369237233108
4618,2022-12-01,1017,723.77,756.88,33.11,0.045746576951241416
3466,2022-06-01,1065,82.97,88.0,5.03,0.06062432204411233
1409,2021-08-01,1008,561.94,582.91,20.97,0.037317151297291525
469,2021-03-01,1068,104.92,109.48,4.56,0.0434616850934045
1176,2021-06-01,1175,47.88,51.41,3.53,0.07372598162071846
5225,2023-03-01,1024,406.65,401.7,-4.95,-0.01217263002582073
8129,2024-05-01,1128,40.5,40.86,0.36,0.008888888888888889
425,2021-03-01,1024,384.8,369.72,-15.08,-0.03918918918918919
7048,2023-12-01,1047,372.57,359.69,-12.88,-0.03457068470354564
2484,2022-01-01,1083,385.35,399.73,14.38,0.037316725055144676
1826,2021-10-01,1025,575.79,599.82,24.03,0.04173396550825822
10558,2025-05-01,1157,747.95,751.79,3.84,0.005134033023597834
1484,2021-08-01,1083,376.75,361.8,-14.95,-0.03968148639681486
9291,2024-11-01,1090,569.98,560.45,-9.53,-0.016719884908242395
9710,2025-01-01,1109,834.72,851.77,17.05,0.02042601111750048
1651,2021-09-01,1050,373.14,394.52,21.38,0.05729752907755802
9787,2025-01-01,1186,104.72,105.14,0.42,0.004010695187165776
2814,2022-03-01,1013,703.42,733.69,30.27,0.04303261209519206
3705,2022-07-01,1104,701.64,680.76,-20.88,-0.029758850692662903
6119,2023-07-01,1118,813.43,858.77,45.34,0.05573927688922218
5043,2023-02-01,1042,339.77,341.01,1.24,0.003649527621626394
11209,2025-09-01,1008,638.75,644.52,5.77,0.009033268101761253
7239,2024-01-01,1038,456.22,437.55,-18.67,-0.04092323878830389
11506,2025-10-01,1105,1009.55,991.39,-18.16,-0.01798821256995691
11075,2025-08-01,1074,74.78,75.79,1.01,0.013506285102968708
10997,2025-07-01,1196,73.42,76.87,3.45,0.04698992100245165
5000,2023-01-01,1199,84.17,90.2,6.03,0.07164072709991684
8481,2024-07-01,1080,403.28,430.06,26.78,0.066405475104146
9268,2024-11-01,1067,114.41,109.9,-4.51,-0.03941963115112315
8399,2024-06-01,1198,108.85,108.85,0.0,0.0
2632,2022-02-01,1031,458.7,468.41,9.71,0.02116851972967081
3132,2022-04-01,1131,69.9,70.48,0.58,0.008297567954220314
9584,2024-12-01,1183,58.98,61.08,2.1,0.03560528992878942
8219,2024-06-01,1018,818.95,845.83,26.88,0.03282251663715734
9277,2024-11-01,1076,78.11,74.24,-3.87,-0.049545512738445784
3814,2022-08-01,1013,645.58,655.24,9.66,0.014963288825552217
5887,2023-06-01,1086,512.29,490.01,-22.28,-0.04349099143063499
5083,2023-02-01,1082,624.87,596.0,-28.87,-0.04620160993486645
11816,2025-12-01,1015,698.42,753.49,55.07,0.0788494029380602
8824,2024-09-01,1023,546.4,543.63,-2.77,-0.005069546120058565
1218,2021-07-01,1017,704.53,753.36,48.83,0.0693086170922459
3992,2022-08-01,1191,111.24,112.49,1.25,0.011236965120460267
11148,2025-08-01,1147,641.6,617.27,-24.33,-0.037920822942643394
7616,2024-03-01,1015,717.69,719.13,1.44,0.002006437319734147
10692,2025-06-01,1091,491.14,514.9,23.76,0.04837724477745653
10185,2025-03-01,1184,69.04,72.94,3.9,0.05648899188876014
1684,2021-09-01,1083,370.53,387.72,17.19,0.04639300461501093
4575,2022-11-01,1174,40.3,40.09,-0.21,-0.00521091811414392
11541,2025-10-01,1140,934.36,919.84,-14.52,-0.015540048803459052
10751,2025-06-01,1150,668.78,666.53,-2.25,-0.003364335057866563
11284,2025-09-01,1083,399.48,402.48,3.0,0.007509762691498949
7563,2024-02-01,1162,58.51,58.03,-0.48,-0.008203725858827551
5904,2023-06-01,1103,1374.4,1322.71,-51.69,-0.03760913853317811
2583,2022-01-01,1182,83.63,79.86,-3.77,-0.04507951691976563
3003,2022-04-01,1002,541.51,529.39,-12.12,-0.02238185813743052
10044,2025-03-01,1043,301.29,304.39,3.1,0.010289090245278635
2088,2021-11-01,1087,358.3,341.82,-16.48,-0.04599497627686296
8929,2024-09-01,1128,39.84,39.8,-0.04,-0.001004016064257028
4149,2022-09-01,1148,532.41,525.05,-7.36,-0.013823932683458237
136,2021-01-01,1135,54.41,52.77,-1.64,-0.030141518103289838
9918,2025-02-01,1117,907.54,969.54,62.0,0.06831654803094078
1744,2021-09-01,1143,710.44,746.58,36.14,0.050869883452508306
7342,2024-01-01,1141,608.5,625.44,16.94,0.027838948233360722
10875,2025-07-01,1074,73.45,74.96,1.51,0.020558202859087816
3708,2022-07-01,1107,1024.96,1096.75,71.79,0.07004175772713081
5471,2023-04-01,1070,77.94,81.88,3.94,0.05055170644085194
701,2021-04-01,1100,911.96,970.12,58.16,0.06377472696170884
8558,2024-07-01,1157,719.0,686.24,-32.76,-0.04556328233657858
11716,2025-11-01,1115,1021.38,1032.95,11.57,0.01132781139242985
1609,2021-09-01,1008,601.86,641.24,39.38,0.06543049878709334
5864,2023-06-01,1063,90.92,88.87,-2.05,-0.022547294324681038
430,2021-03-01,1029,433.08,432.67,-0.41,-0.0009467073058095501
4024,2022-09-01,1023,538.01,534.25,-3.76,-0.006988717681827475
6689,2023-10-01,1088,577.87,618.67,40.8,0.07060411511239552
4101,2022-09-01,1100,926.64,922.85,-3.79,-0.004090045756712423
8876,2024-09-01,1075,115.38,122.28,6.9,0.059802392095683825
8515,2024-07-01,1114,951.85,987.18,35.33,0.037117192835005516
9650,2025-01-01,1049,296.25,297.43,1.18,0.003983122362869199
2271,2021-12-01,1070,69.09,67.97,-1.12,-0.016210739614994935
7693,2024-03-01,1092,677.17,653.78,-23.39,-0.03454080954560893
71,2021-01-01,1070,75.77,79.99,4.22,0.05569486604196912
5721,2023-05-01,1120,69.73,67.74,-1.99,-0.028538649075003586
10748,2025-06-01,1147,656.13,637.51,-18.62,-0.028378522548885128
10153,2025-03-01,1152,837.75,856.05,18.3,0.021844225604297225
11958,2025-12-01,1157,750.09,761.29,11.2,0.014931541548347532
9138,2024-10-01,1137,50.86,48.98,-1.88,-0.0369642154935116
2020,2021-11-01,1019,659.22,665.37,6.15,0.009329207244925822
9837,2025-02-01,1036,510.35,495.93,-14.42,-0.028255119035955716
11352,2025-09-01,1151,531.55,539.19,7.64,0.014373059919104505
6703,2023-10-01,1102,908.7,875.1,-33.6,-0.03697589963684384
4030,2022-09-01,1029,426.52,415.34,-11.18,-0.02621213542155116
