activity_id,date_id,activity_date,customer_id,sales_rep_id,activity_type,activity_minutes,sentiment_score,customer_health_score,customer_health_band
17814,20240907,2024-09-07,920,41,Email,48,0.024,61.8,Neutral
6858,20251207,2025-12-07,455,32,Email,12,0.115,72.1,Neutral
7673,20230112,2023-01-12,509,79,Email,25,-0.104,58.4,Neutral
9705,20230727,2023-07-27,224,23,Call,40,0.653,72.3,Neutral
14304,20240315,2024-03-15,943,80,Call,16,-0.176,64.9,Neutral
26305,20240131,2024-01-31,878,66,Demo,10,-0.026,56.6,Neutral
3203,20250623,2025-06-23,642,25,Email,26,-0.904,52.9,Neutral
27311,20240102,2024-01-02,1025,14,Demo,5,0.51,61.7,Neutral
11216,20211221,2021-12-21,395,42,Call,23,-0.008,66.5,Neutral
20491,20231216,2023-12-16,280,46,Call,24,-0.578,62.1,Neutral
19771,20210427,2021-04-27,37,41,Demo,55,0.607,69.2,Neutral
20452,20231129,2023-11-29,16,48,Call,72,0.344,57.0,Neutral
16330,20241225,2024-12-25,875,77,Call,21,-0.14,71.0,Neutral
34265,20241002,2024-10-02,1083,18,Email,20,0.593,70.7,Neutral
34330,20231025,2023-10-25,192,64,Email,57,-1.0,61.1,Neutral
17842,20240307,2024-03-07,13,53,Demo,46,-1.0,48.5,At Risk
1838,20230316,2023-03-16,148,66,Training,14,-0.04,53.6,Neutral
13578,20250223,2025-02-23,1138,4,Email,37,-0.44,62.3,Neutral
34251,20240403,2024-04-03,666,52,Training,30,0.126,71.8,Neutral
23572,20220712,2022-07-12,608,63,Email,7,-0.325,62.2,Neutral
32635,20250922,2025-09-22,764,23,Call,49,0.945,76.4,Healthy
21370,20220829,2022-08-29,397,2,Email,53,-0.685,50.5,Neutral
19701,20220920,2022-09-20,265,12,Call,35,0.403,76.1,Healthy
29528,20220726,2022-07-26,1076,1,Call,31,1.0,76.8,Healthy
2112,20221007,2022-10-07,1101,22,Visit,14,-0.908,55.9,Neutral
4446,20240426,2024-04-26,428,1,Business Review,5,-0.114,60.5,Neutral
31882,20230916,2023-09-16,1186,3,Email,18,-0.477,60.0,Neutral
18348,20251227,2025-12-27,679,61,Training,33,0.892,84.0,Healthy
15663,20240921,2024-09-21,232,46,Email,51,-0.103,65.1,Neutral
31723,20250314,2025-03-14,371,20,Business Review,45,0.233,68.5,Neutral
33233,20250111,2025-01-11,779,29,Call,31,0.155,59.4,Neutral
28182,20251129,2025-11-29,281,13,Email,52,-0.018,61.2,Neutral
30634,20240322,2024-03-22,1158,68,Call,43,-0.024,55.7,Neutral
23478,20230807,2023-08-07,169,3,Email,29,0.48,77.3,Healthy
26199,20240812,2024-08-12,984,70,Email,37,-0.115,64.9,Neutral
21028,20251217,2025-12-17,812,21,Training,5,-0.281,70.1,Neutral
33532,20230604,2023-06-04,772,62,Email,18,-0.276,57.6,Neutral
7696,20250630,2025-06-30,703,69,Email,23,0.471,71.9,Neutral
31721,20210731,2021-07-31,598,23,Training,59,-0.325,54.3,Neutral
14112,20240128,2024-01-28,966,33,Call,56,-0.862,57.7,Neutral
16338,20230316,2023-03-16,615,18,Call,6,0.391,74.1,Neutral
22886,20210418,2021-04-18,269,70,Call,52,0.136,72.2,Neutral
31233,20240909,2024-09-09,1154,20,Email,42,0.249,70.9,Neutral
1617,20220504,2022-05-04,557,42,Training,46,1.0,80.1,Healthy
7921,20240528,2024-05-28,143,12,Email,9,0.48,59.2,Neutral
14129,20210418,2021-04-18,955,48,Call,33,0.097,56.3,Neutral
8214,20220614,2022-06-14,745,4,Email,31,0.907,88.9,Healthy
7030,20251016,2025-10-16,1017,53,Call,52,0.709,70.0,Neutral
7011,20240120,2024-01-20,1076,47,Email,17,-1.0,54.6,Neutral
18818,20210117,2021-01-17,802,59,Call,67,-0.073,53.3,Neutral
19588,20220612,2022-06-12,85,69,Visit,71,0.16,80.1,Healthy
15092,20240209,2024-02-09,673,68,Visit,42,-0.268,58.6,Neutral
33454,20210118,2021-01-18,34,78,Email,28,0.121,59.9,Neutral
14035,20250713,2025-07-13,718,49,Email,76,-0.017,77.5,Healthy
5027,20230912,2023-09-12,1083,18,Call,60,0.884,77.3,Healthy
21407,20220527,2022-05-27,564,77,Email,5,-0.163,64.7,Neutral
12800,20220425,2022-04-25,974,24,Visit,48,-0.646,50.6,Neutral
30337,20230124,2023-01-24,131,52,Call,38,0.822,82.0,Healthy
27680,20231009,2023-10-09,534,79,Visit,23,0.468,83.2,Healthy
5046,20230831,2023-08-31,39,77,Demo,38,-0.453,55.4,Neutral
29986,20221204,2022-12-04,546,4,Email,13,-0.826,55.9,Neutral
28512,20240601,2024-06-01,931,53,Call,47,0.233,65.3,Neutral
24907,20251212,2025-12-12,1120,70,Call,16,0.459,56.7,Neutral
280,20230605,2023-06-05,613,69,Email,27,0.371,77.6,Healthy
25142,20250901,2025-09-01,878,8,Email,26,0.273,67.2,Neutral
16191,20210507,2021-05-07,114,51,Visit,40,0.853,89.7,Healthy
19947,20250404,2025-04-04,350,80,Call,23,1.0,74.8,Neutral
12909,20240330,2024-03-30,846,36,Visit,50,0.395,58.7,Neutral
28731,20220303,2022-03-03,229,81,Call,68,0.203,68.6,Neutral
24102,20211206,2021-12-06,686,20,Visit,47,0.433,80.2,Healthy
22882,20230302,2023-03-02,168,28,Email,34,0.331,61.7,Neutral
30318,20231115,2023-11-15,1128,24,Call,36,-0.484,62.0,Neutral
1189,20250609,2025-06-09,849,58,Call,26,0.066,54.2,Neutral
10582,20211201,2021-12-01,1034,65,Demo,24,-0.79,49.4,At Risk
27520,20240331,2024-03-31,703,69,Visit,21,0.232,78.7,Healthy
8172,20220927,2022-09-27,205,29,Email,19,-0.004,67.4,Neutral
18699,20210314,2021-03-14,1191,21,Email,45,0.327,54.4,Neutral
20276,20240906,2024-09-06,265,11,Email,40,0.852,85.8,Healthy
26555,20250128,2025-01-28,1038,42,Email,12,-0.343,56.0,Neutral
8613,20231018,2023-10-18,794,14,Business Review,75,0.25,74.1,Neutral
11509,20240410,2024-04-10,1161,72,Call,43,-0.978,58.5,Neutral
3793,20240903,2024-09-03,599,75,Call,19,0.477,75.4,Healthy
4147,20230904,2023-09-04,446,12,Call,27,0.094,54.7,Neutral
23813,20210704,2021-07-04,316,60,Email,5,0.664,82.6,Healthy
21522,20250429,2025-04-29,41,70,Email,13,0.103,90.1,Healthy
26888,20250127,2025-01-27,34,17,Email,19,0.73,70.4,Neutral
10728,20221120,2022-11-20,855,39,Call,57,-0.237,61.6,Neutral
7224,20240511,2024-05-11,281,51,Visit,44,0.544,81.3,Healthy
17186,20251001,2025-10-01,509,65,Email,62,0.777,76.6,Healthy
25476,20241120,2024-11-20,427,19,Email,33,-0.621,65.2,Neutral
14464,20250223,2025-02-23,670,11,Email,43,0.331,56.6,Neutral
32274,20241212,2024-12-12,37,21,Visit,71,0.054,70.7,Neutral
19036,20230220,2023-02-20,684,69,Visit,48,0.232,65.5,Neutral
19089,20240922,2024-09-22,266,40,Demo,21,0.007,53.0,Neutral
22270,20251228,2025-12-28,143,12,Email,5,0.798,82.9,Healthy
29031,20250906,2025-09-06,891,1,Email,23,-0.045,74.8,Neutral
28323,20240522,2024-05-22,576,75,Email,64,-0.76,50.8,Neutral
34588,20230630,2023-06-30,1034,79,Call,67,0.978,84.1,Healthy
