inventory_id,year_month,product_id,region_id,opening_stock_units,production_units,ending_stock_units,stockout_flag,inventory_value_eur,zero_stock_flag
2593,2021-10-01,1120,6,7,5,8,False,2745.72,0
49625,2025-05-01,1157,8,7,10,5,False,1147.65,0
36648,2024-09-01,1004,7,59,75,64,False,21255.59,0
54432,2025-09-01,1057,6,167,312,256,False,161775.88,0
52364,2025-07-01,1145,4,19,17,23,False,11790.95,0
32571,2024-05-01,1188,8,11,19,14,False,9082.18,0
55089,2025-09-01,1146,5,13,15,17,False,10100.9,0
45822,2025-03-01,1031,9,14,26,21,False,12950.09,0
51462,2025-07-01,1013,1,421,385,511,False,278039.7,0
3759,2022-01-01,1044,8,37,57,42,False,11508.72,0
5223,2022-03-01,1137,2,60,89,76,False,22796.59,0
11808,2023-01-01,1002,9,16,24,17,False,10728.61,0
57126,2025-11-01,1010,6,94,110,78,False,23657.13,0
19820,2023-08-01,1103,7,35,28,38,False,22293.74,0
55741,2025-10-01,1035,4,25,19,26,False,6252.51,0
59840,2025-12-01,1151,4,80,56,88,False,3615.28,0
15760,2023-04-01,1139,5,38,35,47,False,21315.71,0
47460,2025-04-01,1055,8,36,42,25,False,3290.24,0
11301,2022-12-01,1086,2,10,7,9,False,2229.82,0
5467,2022-04-01,1020,9,13,16,16,False,4904.69,0
57175,2025-11-01,1016,5,162,118,140,False,88550.39,0
17462,2023-06-01,1051,9,31,60,46,False,2260.01,0
38567,2024-10-01,1066,3,136,127,170,False,57932.64,0
41426,2024-12-01,1034,6,91,117,96,False,14923.05,0
24153,2023-11-01,1191,9,67,61,84,False,13442.28,0
44550,2025-02-01,1052,5,86,82,86,False,7880.39,0
10372,2022-11-01,1068,4,24,22,22,False,12789.7,0
32291,2024-05-01,1145,10,75,59,77,False,4803.8,0
43410,2025-01-01,1091,2,10,9,7,False,917.26,0
730,2021-04-01,1056,8,2,4,3,False,931.69,0
42800,2025-01-01,1011,8,137,186,154,False,58611.7,0
56656,2025-10-01,1148,1,183,102,167,False,28562.36,0
27272,2024-02-01,1036,9,166,251,229,False,13287.71,0
4544,2022-02-01,1113,1,118,132,127,False,72552.32,0
59039,2025-12-01,1049,6,163,105,175,False,89360.07,0
14862,2023-03-01,1184,1,61,42,54,False,14662.66,0
8501,2022-08-01,1198,6,292,165,288,False,47708.83,0
35207,2024-07-01,1181,8,71,82,91,False,24847.26,0
40056,2024-11-01,1056,7,76,54,75,False,39811.68,0
53737,2025-08-01,1159,1,104,71,87,False,48449.25,0
40029,2024-11-01,1053,1,400,226,361,False,173617.78,0
46237,2025-03-01,1086,2,76,111,82,False,29386.11,0
55,2021-01-01,1043,6,24,26,27,False,12208.71,0
10881,2022-11-01,1191,4,58,68,73,False,4750.43,0
28077,2024-02-01,1153,5,65,114,81,False,7817.81,0
43592,2025-01-01,1117,2,118,122,119,False,32575.5,0
12372,2023-01-01,1103,2,51,58,59,False,25983.69,0
56562,2025-10-01,1135,5,59,37,58,False,9501.02,0
3585,2021-12-01,1181,5,131,116,159,False,68721.13,0
26813,2024-01-01,1175,10,7,5,5,False,3227.55,0
22553,2023-10-01,1157,2,55,118,84,False,31923.14,0
274,2021-02-01,1056,1,30,25,33,False,21075.81,0
59941,2025-12-01,1166,6,11,12,9,False,2840.58,0
14846,2023-03-01,1181,2,4,2,3,False,670.07,0
5012,2022-03-01,1071,10,138,95,114,False,63318.67,0
26482,2024-01-01,1124,2,61,52,67,False,13277.97,0
23996,2023-11-01,1169,7,123,75,124,False,53795.36,0
55611,2025-10-01,1019,5,107,113,125,False,18301.73,0
10435,2022-11-01,1083,1,28,33,33,False,2974.8,0
5138,2022-03-01,1112,6,163,81,144,False,42393.14,0
36850,2024-09-01,1031,1,135,88,108,False,25560.04,0
47133,2025-04-01,1011,2,56,49,64,False,10330.34,0
37726,2024-09-01,1158,1,92,97,113,False,63254.62,0
22074,2023-10-01,1082,6,102,68,101,False,55430.05,0
9662,2022-10-01,1104,7,58,130,91,False,51387.43,0
32898,2024-06-01,1034,4,34,53,40,False,8150.78,0
4919,2022-03-01,1039,5,27,36,37,False,1770.01,0
53790,2025-08-01,1166,7,601,646,655,False,97094.57,0
41956,2024-12-01,1100,5,448,287,476,False,166226.08,0
32412,2024-05-01,1166,2,23,13,20,False,12466.78,0
30856,2024-04-01,1142,5,46,72,59,False,25625.34,0
52298,2025-07-01,1133,4,76,43,66,False,33400.67,0
54471,2025-09-01,1062,2,70,111,94,False,34335.15,0
20095,2023-08-01,1160,4,156,128,189,False,67831.92,0
28607,2024-03-01,1027,2,36,35,43,False,18283.86,0
50871,2025-06-01,1127,6,18,18,20,False,11820.62,0
25888,2024-01-01,1040,6,85,45,81,False,29941.89,0
15960,2023-04-01,1181,5,83,93,89,False,13706.53,0
19731,2023-08-01,1082,9,45,33,48,False,2151.98,0
56757,2025-10-01,1163,8,67,91,67,False,5030.91,0
8538,2022-09-01,1008,3,8,12,8,False,3724.71,0
37684,2024-09-01,1150,8,87,73,107,False,23123.72,0
58772,2025-12-01,1017,7,176,112,157,False,76475.19,0
5497,2022-04-01,1030,9,31,46,44,False,24078.11,0
15075,2023-04-01,1017,5,37,64,52,False,12340.04,0
39881,2024-11-01,1034,4,270,192,301,False,60864.88,0
51558,2025-07-01,1026,5,18,8,15,False,5409.95,0
58268,2025-11-01,1156,6,164,178,203,False,29239.04,0
24794,2023-12-01,1078,9,14,12,11,False,4684.99,0
30423,2024-04-01,1080,5,299,191,298,False,188920.36,0
2631,2021-10-01,1140,10,18,14,17,False,9327.95,0
1793,2021-08-01,1054,1,148,103,154,False,75065.43,0
45063,2025-02-01,1123,4,38,32,28,False,9858.62,0
41187,2024-12-01,1003,3,75,88,63,False,28955.87,0
45920,2025-03-01,1045,6,294,343,386,False,173232.22,0
52106,2025-07-01,1107,3,46,56,61,False,29132.24,0
27249,2024-02-01,1033,9,61,40,55,False,19634.54,0
15838,2023-04-01,1155,4,17,14,20,False,12774.79,0
27958,2024-02-01,1131,10,42,52,57,False,15841.21,0
41037,2024-11-01,1184,5,344,264,385,False,157407.73,0
