opportunity_id,created_date,customer_id,product_group,sales_rep_id,stage,expected_value_eur,win_probability,expected_close_date,created_date_id,weighted_pipeline_eur,days_to_close,is_closed_won,is_closed_lost
11500,2024-08-19,575,Laptop Standard,67,Negotiation,8832.85,0.613,2025-01-04,20240819,5414.54,138,0,0
6476,2024-09-22,430,Legacy Workstation,42,Qualified,12244.18,0.373,2025-02-08,20240922,4567.08,139,0,0
13168,2021-11-02,567,Tablet Enterprise,21,Lead,79989.63,0.208,2022-01-13,20211102,16637.84,72,0,0
863,2023-06-29,684,Laptop Standard,50,Lead,23435.51,0.068,2023-10-19,20230629,1593.61,112,0,0
5971,2024-11-25,659,Legacy Workstation,57,Qualified,16919.88,0.162,2025-01-18,20241125,2741.02,54,0,0
6707,2024-03-02,494,Laptop Standard,34,Proposal,19453.02,0.41,2024-05-22,20240302,7975.74,81,0,0
3018,2023-09-14,516,Laptop Pro,36,Closed Won,115298.18,0.955,2023-10-17,20230914,110109.76,33,1,0
3782,2023-06-30,779,Laptop Standard,65,Lead,28148.95,0.099,2023-12-27,20230630,2786.75,180,0,0
3899,2022-10-03,1173,Tablet Enterprise,61,Lead,8436.87,0.146,2023-04-02,20221003,1231.78,181,0,0
2251,2022-05-30,263,Medical Sensor,12,Negotiation,60385.26,0.666,2023-01-03,20220530,40216.58,218,0,0
543,2025-11-03,679,Service Contract,70,Negotiation,15663.32,0.729,2026-05-28,20251103,11418.56,206,0,0
4352,2021-11-03,686,Laptop Pro,62,Negotiation,68546.91,0.507,2022-01-06,20211103,34753.28,64,0,0
12808,2024-02-25,822,Monitoring Device,60,Proposal,24659.3,0.424,2024-07-24,20240225,10455.54,150,0,0
6632,2025-10-29,913,Monitoring Device,56,Qualified,9078.41,0.176,2025-12-02,20251029,1597.8,34,0,0
6706,2024-04-03,314,Industrial Scanner,69,Qualified,66104.25,0.219,2024-08-02,20240403,14476.83,121,0,0
6979,2023-10-19,997,Laptop Pro,32,Proposal,71843.61,0.427,2024-05-17,20231019,30677.22,211,0,0
7400,2022-10-14,695,Laptop Pro,42,Lead,111591.17,0.097,2023-03-30,20221014,10824.34,167,0,0
11120,2025-01-07,102,Accessory Kit,34,Negotiation,30536.15,0.768,2025-08-12,20250107,23451.76,217,0,0
