product_id,sku,product_family,product_group,product_name,launch_year,lifecycle_stage,base_list_price_eur,base_unit_cost_eur,target_margin_pct,product_growth_factor,is_declining_product,is_new_product,launch_date
1095,SKU-1095,Medical,Monitoring Device,Monitoring Device Model 16,2021,Decline,87167.0,49503.0,39.0,11.0,1,0,2021-01-01
1015,SKU-1015,IT,Laptop Pro,Laptop Pro Model 16,2022,Growth,72575.0,52743.0,29.0,108.0,0,0,2022-01-01
1030,SKU-1030,IT,Laptop Standard,Laptop Standard Model 11,2022,Mature,52635.0,39531.0,24.0,101.0,0,0,2022-01-01
1158,SKU-1158,Services,Legacy Workstation,Legacy Workstation Model 19,2023,Decline,87437.0,70642.0,18.0,88.0,1,0,2023-01-01
1128,SKU-1128,Accessories,Connectivity Module,Connectivity Module Model 09,2023,Mature,10573.0,6822.0,31.0,118.0,0,0,2023-01-01
1115,SKU-1115,Accessories,Industrial Scanner,Industrial Scanner Model 16,2024,New,141989.0,91237.0,34.0,103.0,0,1,2024-01-01
1069,SKU-1069,Medical,Medical Sensor,Medical Sensor Model 10,2020,Mature,1800.0,1055.0,45.0,115.0,0,0,2020-01-01
1170,SKU-1170,Accessories,Accessory Kit,Accessory Kit Model 11,2024,Growth,4761.0,3795.0,22.0,105.0,0,0,2024-01-01
1174,SKU-1174,Accessories,Accessory Kit,Accessory Kit Model 15,2023,Growth,5882.0,4474.0,22.0,105.0,0,0,2023-01-01
1045,SKU-1045,IT,Tablet Enterprise,Tablet Enterprise Model 06,2023,Mature,42919.0,28528.0,27.0,112.0,0,0,2023-01-01
1066,SKU-1066,Medical,Medical Sensor,Medical Sensor Model 07,2024,New,16949.0,9435.0,45.0,115.0,0,1,2024-01-01
1182,SKU-1182,Services,Service Contract,Service Contract Model 03,2022,Growth,26244.0,10263.0,62.0,116.0,0,0,2022-01-01
1165,SKU-1165,Accessories,Accessory Kit,Accessory Kit Model 06,2024,New,5211.0,4102.0,22.0,105.0,0,1,2024-01-01
1078,SKU-1078,Medical,Medical Sensor,Medical Sensor Model 19,2021,Mature,17824.0,10742.0,45.0,115.0,0,0,2021-01-01
1186,SKU-1186,Services,Service Contract,Service Contract Model 07,2020,Mature,18889.0,805.0,62.0,116.0,0,0,2020-01-01
1177,SKU-1177,Accessories,Accessory Kit,Accessory Kit Model 18,2020,Mature,699.0,5613.0,22.0,105.0,0,0,2020-01-01
1056,SKU-1056,IT,Tablet Enterprise,Tablet Enterprise Model 17,2020,Decline,39557.0,28397.0,27.0,112.0,1,0,2020-01-01
1152,SKU-1152,Services,Legacy Workstation,Legacy Workstation Model 13,2023,Decline,72885.0,65785.0,18.0,88.0,1,0,2023-01-01
1082,SKU-1082,Medical,Monitoring Device,Monitoring Device Model 03,2023,Growth,86134.0,53363.0,39.0,11.0,0,0,2023-01-01
1068,SKU-1068,Medical,Medical Sensor,Medical Sensor Model 09,2018,Mature,21166.0,11477.0,45.0,115.0,0,0,2018-01-01
1124,SKU-1124,Accessories,Connectivity Module,Connectivity Module Model 05,2021,Mature,7503.0,5016.0,31.0,118.0,0,0,2021-01-01
1016,SKU-1016,IT,Laptop Pro,Laptop Pro Model 17,2022,Mature,10645.0,71357.0,29.0,108.0,0,0,2022-01-01
1148,SKU-1148,Services,Legacy Workstation,Legacy Workstation Model 09,2022,Decline,74911.0,60066.0,18.0,88.0,1,0,2022-01-01
1093,SKU-1093,Medical,Monitoring Device,Monitoring Device Model 14,2024,New,74495.0,39924.0,39.0,11.0,0,1,2024-01-01
1065,SKU-1065,Medical,Medical Sensor,Medical Sensor Model 06,2019,Decline,15371.0,8642.0,45.0,115.0,1,0,2019-01-01
1060,SKU-1060,Medical,Medical Sensor,Medical Sensor Model 01,2023,Mature,12766.0,7125.0,45.0,115.0,0,0,2023-01-01
1084,SKU-1084,Medical,Monitoring Device,Monitoring Device Model 05,2024,New,63005.0,40066.0,39.0,11.0,0,1,2024-01-01
1067,SKU-1067,Medical,Medical Sensor,Medical Sensor Model 08,2019,Growth,17249.0,9287.0,45.0,115.0,0,0,2019-01-01
1125,SKU-1125,Accessories,Connectivity Module,Connectivity Module Model 06,2023,Growth,9375.0,6157.0,31.0,118.0,0,0,2023-01-01
1132,SKU-1132,Accessories,Connectivity Module,Connectivity Module Model 13,2020,Mature,9459.0,6852.0,31.0,118.0,0,0,2020-01-01
1009,SKU-1009,IT,Laptop Pro,Laptop Pro Model 10,2019,Mature,83259.0,56406.0,29.0,108.0,0,0,2019-01-01
1018,SKU-1018,IT,Laptop Pro,Laptop Pro Model 19,2023,Growth,82004.0,56184.0,29.0,108.0,0,0,2023-01-01
1055,SKU-1055,IT,Tablet Enterprise,Tablet Enterprise Model 16,2020,Mature,44686.0,29633.0,27.0,112.0,0,0,2020-01-01
1075,SKU-1075,Medical,Medical Sensor,Medical Sensor Model 16,2021,Mature,22778.0,15451.0,45.0,115.0,0,0,2021-01-01
