region_id,country,region,currency,fx_to_eur,market_growth_factor,margin_factor
9,Belgium,Western Europe,EUR,10.0,108.0,96.0
2,France,Western Europe,EUR,10.0,102.0,97.0
6,Ireland,Northern Europe,EUR,10.0,107.0,10.0
1,Germany,Western Europe,EUR,10.0,106.0,98.0
8,Slovakia,Eastern Europe,EUR,10.0,105.0,95.0
3,Spain,Southern Europe,EUR,10.0,109.0,94.0
10,Finland,Northern Europe,EUR,10.0,104.0,92.0
5,United Kingdom,Northern Europe,GBP,117.0,97.0,101.0
4,Italy,Southern Europe,EUR,10.0,101.0,93.0
7,Poland,Eastern Europe,PLN,23.0,112.0,89.0
