return_id,sales_id,date_id,return_date,customer_id,product_id,region_id,return_units,return_value_eur,return_reason
1744,63344,20231202,2023-12-02,1017,1106,1,4,5249.03,Defect
2197,4587,20230630,2023-06-30,779,1097,5,32,21133.98,Defect
1729,32769,20250529,2025-05-29,179,1077,6,30,6581.41,Defect
3338,105210,20231104,2023-11-04,238,1192,4,15,3748.78,Defect
299,81691,20240528,2024-05-28,1158,1171,6,38,1615.51,Defect
1838,31372,20250110,2025-01-10,706,1081,8,1,776.55,Defect
4017,76237,20251209,2025-12-09,417,1078,6,16,2559.9,Defect
352,87645,20240324,2024-03-24,37,1094,3,3,2152.11,Defect
3316,2990,20250127,2025-01-27,1052,1100,3,1,1433.61,Defect
2459,32503,20250704,2025-07-04,164,1162,4,4,207.31,Defect
1030,33230,20231222,2023-12-22,293,1010,6,2,1314.64,Customer Cancellation
2320,4911,20240828,2024-08-28,283,1057,3,5,1949.87,Defect
1478,116464,20230527,2023-05-27,1070,1163,5,11,578.48,Shipping Damage
3774,7802,20230429,2023-04-29,1038,1105,1,2,2030.16,Defect
2903,109049,20251006,2025-10-06,267,1184,9,1,217.64,Other
2293,77255,20220917,2022-09-17,407,1075,4,1,211.42,Wrong Configuration
3572,105501,20240926,2024-09-26,1130,1022,2,8,5131.3,Customer Cancellation
498,51207,20251202,2025-12-02,907,1174,9,21,1123.85,Wrong Configuration
1996,79697,20221205,2022-12-05,1083,1169,9,9,528.33,Defect
735,105700,20240904,2024-09-04,623,1029,1,1,645.1,Defect
3253,103946,20251202,2025-12-02,849,1159,5,3,1853.27,Defect
1048,107137,20230428,2023-04-28,575,1159,3,13,7966.22,Customer Cancellation
1033,87035,20230708,2023-07-08,258,1057,9,4,1638.39,Defect
2654,43106,20241019,2024-10-19,163,1088,1,24,20855.79,Defect
2461,16189,20240714,2024-07-14,437,1083,3,3,3213.23,Shipping Damage
3726,32738,20230323,2023-03-23,1069,1044,6,19,6127.94,Customer Cancellation
2184,78321,20231217,2023-12-17,66,1186,10,1,194.41,Wrong Configuration
1089,71514,20240603,2024-06-03,388,1116,2,6,9428.32,Other
600,110191,20251218,2025-12-18,899,1111,4,9,14975.73,Defect
2260,98630,20240323,2024-03-23,431,1145,1,54,39369.84,Customer Cancellation
297,112600,20230122,2023-01-22,930,1108,6,8,9954.86,Shipping Damage
2592,63165,20251222,2025-12-22,935,1088,2,9,9984.5,Defect
2777,33182,20240916,2024-09-16,1009,1180,2,7,1608.85,Wrong Configuration
315,32557,20250112,2025-01-12,649,1193,4,31,6296.34,Defect
839,73553,20240930,2024-09-30,916,1041,6,13,4874.53,Defect
2064,85677,20241221,2024-12-21,875,1186,10,7,1245.93,Wrong Configuration
795,66720,20230116,2023-01-16,430,1176,1,4,203.37,Defect
1019,188,20230604,2023-06-04,855,1197,5,23,3869.13,Shipping Damage
2329,78470,20251210,2025-12-10,465,1118,6,13,14032.11,Shipping Damage
752,51212,20241004,2024-10-04,595,1011,10,14,11116.0,Shipping Damage
4105,41304,20241215,2024-12-15,1092,1125,9,28,2444.34,Defect
2541,53405,20251210,2025-12-10,950,1186,5,7,1437.05,Other
812,54355,20251230,2025-12-30,105,1012,1,1,1114.35,Customer Cancellation
97,2357,20240103,2024-01-03,531,1139,7,3,227.06,Wrong Configuration
1452,71218,20240507,2024-05-07,119,1124,4,1,78.46,Wrong Configuration
176,30397,20251001,2025-10-01,527,1086,8,1,752.45,Defect
2340,107174,20221231,2022-12-31,1056,1032,6,5,2566.39,Defect
