sales_rep_id,sales_rep_code,region_id,seniority,annual_quota_eur
79,REP-079,5,Junior,797107.0
1,REP-001,7,Professional,1558343.0
69,REP-069,1,Senior,2758068.0
23,REP-023,2,Senior,2588858.0
13,REP-013,10,Junior,687924.0
83,REP-083,10,Senior,2584874.0
11,REP-011,2,Senior,2274828.0
19,REP-019,8,Professional,1162744.0
5,REP-005,10,Professional,1590667.0
67,REP-067,3,Junior,656059.0
41,REP-041,3,Key Account,3693939.0
48,REP-048,4,Senior,2600666.0
36,REP-036,2,Professional,1276718.0
73,REP-073,4,Key Account,3887453.0
56,REP-056,7,Key Account,3209902.0
55,REP-055,7,Professional,1166375.0
34,REP-034,1,Junior,801702.0
78,REP-078,9,Professional,1659740.0
43,REP-043,7,Senior,2458667.0
50,REP-050,1,Senior,2609161.0
12,REP-012,2,Professional,1330325.0
31,REP-031,8,Junior,794531.0
40,REP-040,5,Senior,2842722.0
29,REP-029,5,Professional,1349791.0
10,REP-010,8,Professional,1593240.0
65,REP-065,5,Key Account,3201719.0
6,REP-006,3,Senior,2529935.0
46,REP-046,6,Professional,1691381.0
32,REP-032,7,Professional,1180415.0
35,REP-035,4,Professional,1607375.0
45,REP-045,2,Junior,643180.0
85,REP-085,4,Senior,2528628.0
17,REP-017,9,Senior,2506496.0
66,REP-066,4,Professional,1252249.0
8,REP-008,4,Key Account,3828779.0
70,REP-070,6,Key Account,4388316.0
57,REP-057,9,Senior,2091903.0
20,REP-020,8,Professional,1566177.0
71,REP-071,3,Professional,1173736.0
26,REP-026,2,Key Account,3414546.0
54,REP-054,10,Junior,600435.0
14,REP-014,6,Key Account,3756145.0
62,REP-062,8,Professional,1183287.0
4,REP-004,3,Senior,2861897.0
18,REP-018,9,Senior,2777241.0
39,REP-039,5,Professional,1615202.0
9,REP-009,9,Senior,2130100.0
68,REP-068,6,Senior,1946288.0
7,REP-007,5,Senior,2615971.0
37,REP-037,1,Key Account,4210191.0
77,REP-077,10,Professional,1198790.0
63,REP-063,4,Professional,1497812.0
51,REP-051,10,Key Account,4277594.0
47,REP-047,7,Professional,1622041.0
84,REP-084,3,Key Account,3968627.0
16,REP-016,3,Senior,2433989.0
28,REP-028,2,Professional,1301571.0
42,REP-042,1,Senior,2167945.0
59,REP-059,9,Junior,609090.0
27,REP-027,1,Senior,2582018.0
49,REP-049,8,Professional,1664231.0
25,REP-025,9,Key Account,4271707.0
44,REP-044,5,Junior,601748.0
82,REP-082,2,Junior,727159.0
76,REP-076,5,Professional,1352559.0
58,REP-058,5,Key Account,3886774.0
33,REP-033,2,Professional,1458843.0
81,REP-081,9,Junior,692253.0
60,REP-060,7,Professional,1741628.0
64,REP-064,1,Professional,1505632.0
74,REP-074,10,Professional,1441306.0
38,REP-038,4,Junior,876990.0
30,REP-030,4,Key Account,3842226.0
2,REP-002,1,Professional,1420920.0
53,REP-053,1,Professional,1631289.0
22,REP-022,6,Professional,1361056.0
3,REP-003,8,Senior,2611443.0
24,REP-024,7,Senior,2580346.0
80,REP-080,6,Professional,1227438.0
75,REP-075,6,Professional,1737187.0
21,REP-021,3,Professional,1465587.0
61,REP-061,6,Key Account,3807091.0
72,REP-072,8,Professional,1726033.0
15,REP-015,10,Key Account,3634660.0
52,REP-052,3,Professional,1680802.0
