sales_id,order_id,date_id,order_date,year_month,customer_id,product_id,region_id,sales_rep_id,units,asp_eur,discount_pct,revenue_eur,revenue_local_currency,currency,unit_cost_eur,gross_profit_eur,gross_margin_pct,is_outlier_order,cogs_eur,discount_value_eur,margin_category,order_size_category,missing_sales_rep_flag,missing_discount_flag,missing_margin_flag
71788,ORD-00071788,20250526,2025-05-26,2025-05-01,928,1075,3,83.0,3,204.07,0.057,612.22,612.22,EUR,122.7,244.12,0.3987,False,368.1,34.89654,Medium Margin,Small Order,0,0,0
67219,ORD-00067219,20210611,2021-06-11,2021-06-01,1077,1170,9,27.0,42,61.7,0.126,2591.41,11267.0,PLN,55.4,264.67,0.1021,False,2326.74,326.51766,Low Margin,Medium Order,0,0,0
54067,ORD-00054067,20211228,2021-12-28,2021-12-01,379,1042,3,57.0,37,333.99,0.154,12357.48,12357.48,EUR,301.59,1198.8,0.097,False,11158.68,1903.05192,Low Margin,Medium Order,0,0,0
7169,ORD-00007169,20220428,2022-04-28,2022-04-01,533,1181,6,66.0,4,219.8,0.059,879.19,955.64,USD,89.08,522.87,0.5947,False,356.32,51.87221,High Margin,Small Order,0,0,0
29619,ORD-00029619,20221106,2022-11-06,2022-11-01,928,1069,3,50.0,6,200.15,0.056,1200.89,1200.89,EUR,113.62,519.16,0.4323,False,681.73,67.24984,High Margin,Small Order,0,0,0
101426,ORD-00101426,20251012,2025-10-12,2025-10-01,149,1139,8,46.0,107,99.85,0.106,10683.47,10683.47,EUR,67.39,3472.81,0.3251,False,7210.66,1132.44782,Medium Margin,Large Order,0,0,0
20442,ORD-00020442,20251207,2025-12-07,2025-12-01,984,1085,2,85.0,3,900.88,0.045,2702.65,2702.65,EUR,482.37,1255.53,0.4646,False,1447.12,121.61925,High Margin,Small Order,0,0,0
2663,ORD-00002663,20250129,2025-01-29,2025-01-01,894,1183,1,16.0,9,177.78,0.142,1599.98,1599.98,EUR,60.68,1053.9,0.6587,False,546.08,227.19716,High Margin,Small Order,0,0,0
20372,ORD-00020372,20250123,2025-01-23,2025-01-01,688,1075,9,54.0,24,204.96,0.049,4919.04,21387.13,PLN,115.87,2138.16,0.4347,False,2780.88,241.03296,High Margin,Small Order,0,0,0
108152,ORD-00108152,20220827,2022-08-27,2022-08-01,469,1058,1,21.0,21,496.89,0.07,10434.64,10434.64,EUR,417.94,1657.89,0.1589,False,8776.75,730.4248,Low Margin,Small Order,0,0,0
15316,ORD-00015316,20240121,2024-01-21,2024-01-01,224,1196,9,33.0,61,195.89,0.161,11949.56,51954.61,PLN,71.42,7592.99,0.6354,False,4356.57,1923.87916,High Margin,Medium Order,0,0,0
23539,ORD-00023539,20220406,2022-04-06,2022-04-01,157,1030,1,37.0,33,558.22,0.181,18421.4,18421.4,EUR,496.92,2022.9,0.1098,False,16398.5,3334.2734,Low Margin,Medium Order,0,0,0
113199,ORD-00113199,20230628,2023-06-28,2023-06-01,374,1019,4,81.0,4,957.94,0.056,3831.75,3831.75,EUR,684.93,1092.03,0.285,False,2739.72,214.578,Medium Margin,Small Order,0,0,0
202,ORD-00000202,20251004,2025-10-04,2025-10-01,813,1130,3,78.0,74,73.99,0.203,5475.48,5475.48,EUR,66.61,546.66,0.0998,False,4928.82,1111.52244,Low Margin,Medium Order,0,0,0
52091,ORD-00052091,20250624,2025-06-24,2025-06-01,530,1021,5,65.0,25,669.68,0.103,16742.08,14309.47,GBP,547.15,3063.44,0.183,False,13678.64,1724.43424,Low Margin,Medium Order,0,0,0
15395,ORD-00015395,20230803,2023-08-03,2023-08-01,574,1118,7,10.0,9,1483.13,0.072,13348.15,19629.63,CAD,803.53,6116.38,0.4582,False,7231.77,961.0668,High Margin,Small Order,0,0,0
88289,ORD-00088289,20250703,2025-07-03,2025-07-01,689,1072,1,79.0,53,183.93,0.161,9748.39,9748.39,EUR,98.11,4548.79,0.4666,False,5199.6,1569.49079,High Margin,Medium Order,0,0,0
46591,ORD-00046591,20220727,2022-07-27,2022-07-01,971,1170,6,33.0,37,59.18,0.16,2189.49,2379.88,USD,58.82,13.25,0.0061,False,2176.24,350.3184,Low Margin,Medium Order,0,0,0
14006,ORD-00014006,20251212,2025-12-12,2025-12-01,1178,1017,7,42.0,44,1036.52,0.116,45606.66,67068.62,CAD,764.46,11970.45,0.2625,False,33636.21,5290.37256,Medium Margin,Medium Order,0,0,0
13753,ORD-00013753,20241012,2024-10-12,2024-10-01,650,1010,2,70.0,4,926.86,0.119,3707.46,3707.46,EUR,840.31,346.2,0.0934,False,3361.26,441.18774,Low Margin,Small Order,0,0,0
119831,ORD-00119831,20240110,2024-01-10,2024-01-01,898,1021,3,47.0,27,727.23,0.056,19635.26,19635.26,EUR,563.56,4419.17,0.2251,False,15216.09,1099.57456,Low Margin,Medium Order,0,0,0
82402,ORD-00082402,20210819,2021-08-19,2021-08-01,308,1024,1,80.0,12,471.28,0.112,5655.35,5655.35,EUR,380.94,1084.07,0.1917,False,4571.28,633.3992,Low Margin,Small Order,0,0,0
