year_month,customer_id,product_id,units_sold,revenue,order_count,avg_discount_pct
2021-01,100,1027,37,14799.26,1,0.169
2021-01,1000,1098,37,18458.43,1,0.136
2021-01,1001,1089,7,5317.16,1,0.023
2021-01,1003,1184,16,2768.89,1,0.055
2021-01,1006,1038,82,43096.82,1,0.154
2021-01,1006,1107,59,54707.73,1,0.242
2021-01,1007,1044,13,4368.75,1,0.128
2021-01,1007,1117,6,6003.97,1,0.1
2021-01,101,1053,12,4615.29,1,0.042
2021-01,101,1059,13,5311.28,1,0.03
2021-01,1011,1011,13,10537.0,1,0.147
2021-01,1011,1100,30,42928.42,1,0.068
2021-01,1011,1193,33,5546.75,1,0.143
2021-01,1012,1008,11,8013.86,1,0.119
2021-01,1014,1005,7,5258.86,1,0.011
2021-01,1014,1066,17,2517.6,1,0.086
2021-01,1014,1087,5,2548.22,1,0.09
2021-01,1014,1119,19,22845.61,1,0.144
2021-01,1014,1184,36,5745.38,1,0.075
2021-01,1018,1000,11,7525.09,1,0.083
2021-01,1020,1033,48,25405.78,1,0.11
2021-01,1020,1064,29,5426.81,1,0.158
2021-01,1020,1091,43,33497.6,1,0.115
2021-01,1020,1125,42,3040.68,1,0.178
2021-01,1020,1179,51,1824.47,1,0.193
2021-01,1022,1068,12,1755.63,1,0.138
2021-01,1023,1186,10,2124.93,1,0.065
2021-01,1025,1148,15,7852.65,1,0.059
2021-01,1026,1048,18,8917.8,1,0.091
2021-01,1026,1056,5,1986.53,1,0.083
2021-01,1026,1073,25,3798.45,1,0.083
2021-01,1026,1076,16,1976.04,1,0.175
2021-01,1026,1157,13,10205.85,1,0.074
2021-01,1027,1012,50,43147.93,1,0.145
2021-01,1027,1051,43,13194.77,1,0.319
2021-01,1027,1076,51,5916.24,1,0.199
2021-01,1028,1006,104,71138.03,1,0.131
2021-01,1028,1012,98,71885.78,1,0.251
2021-01,1028,1034,35,18020.58,1,0.172
2021-01,1028,1040,59,19434.32,1,0.176
2021-01,1028,1045,66,23088.15,1,0.19
2021-01,1028,1161,97,5238.78,1,0.138
2021-01,1028,1193,44,7063.81,1,0.201
