,inventory_id,year_month,product_id,region_id,opening_stock_units,production_units,ending_stock_units,stockout_flag,inventory_value_eur,zero_stock_flag
0,1,2021-01-01,1000,1,53,79,51,False,30108.39,0
1,2,2021-01-01,1000,3,31,22,34,False,11838.23,0
2,3,2021-01-01,1000,7,15,13,18,False,7186.07,0
3,4,2021-01-01,1001,1,3,4,1,False,551.01,0
4,5,2021-01-01,1001,2,180,118,196,False,43963.47,0
5,6,2021-01-01,1001,3,160,140,183,False,12511.12,0
6,7,2021-01-01,1001,5,7,7,7,False,2085.98,0
7,8,2021-01-01,1001,6,24,37,28,False,3674.63,0
8,9,2021-01-01,1001,8,94,72,91,False,18932.51,0
9,10,2021-01-01,1002,1,10,6,8,False,3978.41,0
