activity_id,date_id,activity_date,customer_id,sales_rep_id,activity_type,activity_minutes,sentiment_score,customer_health_score,customer_health_band
17814,20230504,2023-05-04,843,5,Demo,35,0.779,76.6,Healthy
6858,20250405,2025-04-05,395,33,Email,39,-0.293,57.9,Neutral
7673,20251110,2025-11-10,271,64,Email,26,-0.22,61.4,Neutral
9705,20220929,2022-09-29,778,28,Call,28,0.094,59.0,Neutral
14304,20210916,2021-09-16,598,52,Visit,53,-0.191,58.8,Neutral
26305,20240113,2024-01-13,39,55,Call,5,-0.483,50.0,Neutral
3203,20221016,2022-10-16,212,16,Call,27,1.496,84.4,Healthy
27311,20230829,2023-08-29,396,53,Visit,42,-0.09,67.5,Neutral
11216,20230322,2023-03-22,348,47,Training,43,0.222,70.8,Neutral
20491,20240112,2024-01-12,212,63,Demo,5,-0.309,67.2,Neutral
19771,20241125,2024-11-25,44,81,Call,38,1.269,90.0,Healthy
20452,20250801,2025-08-01,310,85,Call,28,0.348,82.6,Healthy
16330,20250227,2025-02-27,399,45,Call,62,0.039,69.0,Neutral
34265,20251118,2025-11-18,137,80,Call,41,-0.221,65.7,Neutral
34330,20241020,2024-10-20,885,27,Call,11,0.408,77.8,Healthy
17842,20250415,2025-04-15,185,62,Email,24,-0.514,69.5,Neutral
1838,20220529,2022-05-29,1178,58,Email,38,0.958,90.7,Healthy
13578,20240211,2024-02-11,816,34,Visit,5,0.07,61.5,Neutral
34251,20230813,2023-08-13,678,24,Visit,5,0.064,55.1,Neutral
23572,20220205,2022-02-05,1011,11,Call,59,0.532,74.0,Neutral
32635,20240502,2024-05-02,403,69,Call,41,0.195,66.2,Neutral
21370,20230527,2023-05-27,1041,16,Email,30,0.093,65.1,Neutral
19701,20220415,2022-04-15,1077,83,Call,43,0.684,65.0,Neutral
29528,20240322,2024-03-22,1003,60,Visit,25,0.118,70.9,Neutral
2112,20230223,2023-02-23,1169,41,Email,38,0.437,85.2,Healthy
4446,20240602,2024-06-02,951,21,Visit,60,0.047,68.7,Neutral
31882,20210429,2021-04-29,122,43,Call,25,-0.967,50.6,Neutral
18348,20230216,2023-02-16,388,56,Demo,14,0.297,59.8,Neutral
15663,20251024,2025-10-24,802,78,Visit,39,-0.141,64.8,Neutral
31723,20230618,2023-06-18,1195,50,Call,68,0.903,65.6,Neutral
33233,20240824,2024-08-24,1011,31,Training,44,0.637,88.5,Healthy
28182,20231001,2023-10-01,82,46,Call,46,-0.679,59.2,Neutral
30634,20250312,2025-03-12,813,54,Call,40,-0.398,57.4,Neutral
23478,20220207,2022-02-07,780,39,Demo,49,0.59,83.7,Healthy
26199,20230315,2023-03-15,1063,15,Business Review,53,-0.28,57.7,Neutral
21028,20220111,2022-01-11,995,48,Call,10,0.346,78.5,Healthy
33532,20250529,2025-05-29,222,22,Email,38,-0.276,42.3,At Risk
7696,20231007,2023-10-07,1105,67,Training,22,1.203,79.3,Healthy
31721,20250311,2025-03-11,131,31,Call,30,1.039,88.2,Healthy
14112,20251126,2025-11-26,429,31,Visit,26,0.377,74.1,Neutral
16338,20250817,2025-08-17,701,18,Email,50,-0.093,70.5,Neutral
22886,20220907,2022-09-07,88,30,Email,29,0.199,67.6,Neutral
31233,20250415,2025-04-15,864,77,Email,5,0.495,58.6,Neutral
1617,20231212,2023-12-12,17,75,Email,35,-0.62,56.1,Neutral
7921,20220915,2022-09-15,551,74,Call,38,0.312,62.1,Neutral
