inventory_id,year_month,product_id,region_id,opening_stock_units,production_units,ending_stock_units,stockout_flag,inventory_value_eur,zero_stock_flag
66661,2025-10-01,1141,9,8,14,11,False,6849.95,0
6185,2021-06-01,1174,2,7,10,10,False,2552.87,0
67434,2025-11-01,1056,6,33,42,44,False,18531.24,0
23691,2022-10-01,1157,8,310,149,275,False,172954.64,0
32916,2023-06-01,1127,6,9,12,10,False,5715.44,0
20154,2022-07-01,1108,8,3,3,3,False,1543.37,0
2311,2021-03-01,1035,8,15,14,13,False,5020.45,0
17519,2022-05-01,1029,4,39,43,46,False,23781.11,0
3873,2021-04-01,1125,5,103,88,124,False,5613.88,0
65978,2025-10-01,1047,5,133,132,100,False,10871.45,0
15256,2022-03-01,1020,8,36,24,35,False,2417.45,0
6995,2021-07-01,1136,9,38,75,58,False,5138.51,0
23673,2022-10-01,1154,5,99,106,116,False,65426.22,0
44968,2024-04-01,1153,5,37,20,31,False,14656.91,0
62267,2025-07-01,1008,2,477,951,756,False,256377.42,0
28367,2023-02-01,1126,3,25,38,26,False,16227.01,0
30054,2023-04-01,1026,10,117,57,102,False,21008.0,0
13898,2022-01-01,1164,3,8,9,8,False,1727.74,0
11403,2021-11-01,1137,9,16,18,20,False,2611.53,0
29279,2023-03-01,1095,4,6,5,5,False,1527.06,0
36108,2023-09-01,1126,8,38,37,41,False,1962.18,0
40411,2023-12-01,1180,2,42,42,42,False,17447.22,0
43719,2024-03-01,1143,3,13,11,15,False,4802.41,0
35724,2023-09-01,1060,4,9,8,10,False,579.89,0
2991,2021-03-01,1161,6,59,76,79,False,15169.45,0
69263,2025-12-01,1114,6,137,109,157,False,64163.86,0
41482,2024-01-01,1163,4,95,90,113,False,57464.96,0
14140,2022-02-01,1009,3,3,4,3,False,1362.26,0
46980,2024-06-01,1087,6,120,101,134,False,32595.27,0
6794,2021-07-01,1094,7,97,57,94,False,29780.22,0
69814,2025-12-01,1194,3,105,101,134,False,65617.08,0
46846,2024-06-01,1065,3,15,8,14,False,547.95,0
39811,2023-12-01,1090,9,46,68,65,False,30831.06,0
21421,2022-08-01,1169,1,86,68,70,False,22049.32,0
35682,2023-09-01,1054,5,163,82,153,False,35438.22,0
2976,2021-03-01,1157,5,19,46,33,False,18068.17,0
9076,2021-09-01,1164,7,7,8,8,False,3764.91,0
64946,2025-09-01,1087,2,45,37,55,False,16439.99,0
22063,2022-09-01,1085,4,3,3,2,False,603.85,0
4129,2021-04-01,1179,9,26,21,32,False,8874.19,0
8172,2021-08-01,1188,3,33,26,34,False,6078.63,0
24800,2022-11-01,1129,4,39,28,38,False,4697.96,0
67473,2025-11-01,1061,3,19,31,20,False,10842.23,0
63297,2025-07-01,1195,9,25,12,23,False,6468.58,0
18986,2022-06-01,1090,1,80,88,100,False,6800.61,0
