opportunity_id,created_date,customer_id,product_group,sales_rep_id,stage,expected_value_eur,win_probability,expected_close_date,created_date_id,weighted_pipeline_eur,days_to_close,is_closed_won,is_closed_lost
11500,2024-01-29,1161,Monitoring Device,66,Closed Lost,57130.53,0.634,2024-05-13,20240129,36220.76,105,0,1
6476,2024-09-20,730,Medical Sensor,64,Proposal,25408.57,0.183,2024-11-28,20240920,4649.77,69,0,0
13168,2025-09-19,1129,Connectivity Module,54,Lead,18362.03,0.619,2026-04-02,20250919,11366.1,195,0,0
863,2023-10-27,135,Industrial Scanner,34,Closed Won,67258.8,0.504,2024-03-05,20231027,33898.44,130,1,0
5971,2021-10-27,1075,Medical Sensor,73,Qualified,24969.49,0.391,2021-12-17,20211027,9763.07,51,0,0
6707,2021-09-10,616,Laptop Standard,50,Qualified,1263.73,0.218,2022-01-14,20210910,275.49,126,0,0
3018,2023-10-04,771,Medical Sensor,7,Lead,38649.15,0.741,2024-04-29,20231004,28639.02,208,0,0
3782,2025-09-14,345,Tablet Enterprise,19,Closed Won,69634.14,0.866,2025-10-24,20250914,60303.17,40,1,0
3899,2022-12-01,1154,Legacy Workstation,33,Lead,26326.53,0.332,2023-02-06,20221201,8740.41,67,0,0
2251,2022-07-28,774,Laptop Pro,79,Lead,31514.15,0.447,2022-09-13,20220728,14086.83,47,0,0
543,2022-11-17,711,Legacy Workstation,8,Negotiation,38303.99,0.128,2023-06-04,20221117,4902.91,199,0,0
4352,2021-09-24,802,Connectivity Module,44,Proposal,210994.83,0.353,2022-03-05,20210924,74481.17,162,0,0
12808,2025-01-21,1124,Tablet Enterprise,51,Negotiation,14108.39,0.238,2025-04-26,20250121,3357.8,95,0,0
6632,2024-01-25,12,Accessory Kit,11,Lead,17909.39,0.168,2024-04-27,20240125,3008.78,93,0,0
6706,2022-01-25,326,Industrial Scanner,36,Closed Lost,33814.69,0.483,2022-06-15,20220125,16332.5,141,0,1
6979,2023-12-25,275,Legacy Workstation,33,Qualified,11537.79,0.264,2024-03-31,20231225,3045.98,97,0,0
7400,2024-11-10,257,Service Contract,8,Lead,8797.17,0.236,2025-04-29,20241110,2076.13,170,0,0
11120,2025-11-23,461,Monitoring Device,15,Negotiation,33471.23,0.515,2026-04-16,20251123,17237.68,144,0,0
12666,2021-02-06,847,Service Contract,80,Closed Lost,63626.78,0.537,2021-09-06,20210206,34167.58,212,0,1
5305,2022-01-23,558,Laptop Pro,22,Lead,5577.63,0.89,2022-02-22,20220123,4964.09,30,0,0
2313,2023-06-29,1033,Monitoring Device,51,Proposal,8486.76,0.678,2023-08-22,20230629,5754.02,54,0,0
7041,2023-06-17,301,Legacy Workstation,84,Closed Lost,4300.91,0.413,2023-09-21,20230617,1776.28,96,0,1
1890,2025-10-15,409,Laptop Pro,81,Lead,208058.63,0.403,2026-04-19,20251015,83847.63,186,0,0
8992,2021-03-09,411,Monitoring Device,80,Lead,19671.64,0.737,2021-09-14,20210309,14498.0,189,0,0
170,2021-07-16,1011,Service Contract,6,Lead,8773.8,0.305,2022-02-13,20210716,2676.01,212,0,0
1796,2025-08-03,1103,Monitoring Device,45,Closed Lost,40362.76,0.435,2026-03-02,20250803,17557.8,211,0,1
3976,2021-08-17,976,Medical Sensor,26,Negotiation,17005.74,0.638,2022-02-13,20210817,10849.66,180,0,0
6821,2023-09-01,1050,Medical Sensor,43,Qualified,48487.34,0.088,2023-09-30,20230901,4266.89,29,0,0
