sales_rep_id,sales_rep_code,region_id,seniority,annual_quota_eur
79,REP-079,2,Senior,2820542.0
1,REP-001,6,Professional,1395879.0
69,REP-069,2,Professional,1173736.0
23,REP-023,3,Professional,1694646.0
13,REP-013,5,Professional,1558343.0
83,REP-083,4,Professional,1745883.0
11,REP-011,2,Key Account,3224925.0
19,REP-019,9,Professional,1531693.0
5,REP-005,10,Senior,2251696.0
67,REP-067,6,Junior,849254.0
41,REP-041,8,Professional,1276718.0
48,REP-048,7,Junior,619495.0
36,REP-036,5,Professional,1692748.0
73,REP-073,10,Professional,1352559.0
56,REP-056,5,Junior,778298.0
55,REP-055,8,Senior,1895730.0
34,REP-034,6,Senior,2582018.0
78,REP-078,2,Junior,727159.0
43,REP-043,9,Senior,2043644.0
50,REP-050,2,Professional,1622041.0
12,REP-012,2,Senior,2820635.0
31,REP-031,8,Senior,2579299.0
40,REP-040,6,Professional,1477436.0
29,REP-029,3,Professional,1465587.0
10,REP-010,7,Professional,1217284.0
65,REP-065,9,Professional,1252249.0
6,REP-006,1,Senior,2810117.0
46,REP-046,10,Senior,2167945.0
32,REP-032,8,Senior,2761520.0
35,REP-035,1,Professional,1466523.0
45,REP-045,7,Key Account,3693939.0
85,REP-085,8,Senior,2662739.0
17,REP-017,5,Senior,2529935.0
66,REP-066,1,Junior,656059.0
8,REP-008,10,Senior,2490179.0
70,REP-070,7,Professional,1726033.0
57,REP-057,6,Key Account,3209902.0
20,REP-020,9,Professional,1494578.0
71,REP-071,10,Professional,1325248.0
26,REP-026,3,Senior,2506496.0
54,REP-054,8,Professional,1680802.0
14,REP-014,4,Professional,1420920.0
62,REP-062,10,Professional,1183287.0
4,REP-004,6,Senior,1952522.0
18,REP-018,8,Senior,2615971.0
39,REP-039,10,Professional,1229114.0
9,REP-009,3,Professional,1160163.0
68,REP-068,7,Key Account,4867857.0
7,REP-007,8,Professional,1286526.0
37,REP-037,3,Junior,794531.0
77,REP-077,5,Junior,692253.0
63,REP-063,3,Professional,1278168.0
51,REP-051,2,Senior,2245083.0
47,REP-047,10,Professional,1154362.0
84,REP-084,5,Junior,922612.0
16,REP-016,9,Key Account,3866589.0
28,REP-028,8,Junior,691403.0
42,REP-042,8,Key Account,4210191.0
59,REP-059,9,Professional,1137188.0
27,REP-027,1,Key Account,4214245.0
49,REP-049,10,Professional,1691381.0
25,REP-025,8,Senior,2433989.0
44,REP-044,1,Senior,2569843.0
82,REP-082,7,Professional,1621894.0
76,REP-076,4,Professional,1376181.0
58,REP-058,1,Senior,2091903.0
33,REP-033,10,Key Account,3414546.0
81,REP-081,1,Professional,1311256.0
60,REP-060,10,Junior,786763.0
64,REP-064,6,Senior,2771181.0
74,REP-074,10,Professional,1198790.0
38,REP-038,4,Professional,1180415.0
30,REP-030,8,Professional,1361056.0
2,REP-002,7,Professional,1262654.0
53,REP-053,4,Key Account,4277594.0
22,REP-022,8,Professional,1330325.0
3,REP-003,5,Junior,710781.0
24,REP-024,2,Professional,1734098.0
80,REP-080,9,Professional,1565914.0
75,REP-075,1,Senior,1985273.0
21,REP-021,7,Senior,2274828.0
61,REP-061,6,Key Account,3807091.0
72,REP-072,10,Professional,1303763.0
15,REP-015,7,Senior,2676745.0
52,REP-052,9,Senior,2608021.0
