year_month,product_id,region_id,campaign_flag,campaign_channel,campaign_spend_eur,campaign_impressions,campaign_clicks,campaign_ctr_pct,website_visits,product_page_views,demo_requests,marketing_qualified_leads,cost_per_lead_eur,regional_crm_activity_index,pipeline_interest_index
2021-01,1000,6,0,No Active Campaign,0.0,0,0,0.0,272,391,1,1,,159.74,119.52
2021-01,1012,3,0,No Active Campaign,0.0,0,0,0.0,272,662,4,4,,99.04,79.68
2021-01,1032,2,0,No Active Campaign,0.0,0,0,0.0,281,386,1,3,,107.03,199.2
2021-01,1032,8,0,No Active Campaign,0.0,0,0,0.0,249,633,2,2,,86.26,79.68
2021-01,1047,2,0,No Active Campaign,0.0,0,0,0.0,218,594,3,3,,107.03,39.84
2021-01,1050,6,0,No Active Campaign,0.0,0,0,0.0,241,446,0,0,,159.74,159.36
2021-01,1056,9,1,Trade Fair,1903.84,39310,1080,2.747,1207,3186,23,93,20.47,46.33,199.2
2021-01,1062,1,0,No Active Campaign,0.0,0,0,0.0,233,600,5,5,,194.89,119.52
2021-01,1087,2,1,Paid Search,10411.88,192691,4754,2.467,4256,5332,57,333,31.27,107.03,239.04
2021-01,1089,10,1,Trade Fair,1685.11,43080,1019,2.365,1176,1572,16,74,22.77,62.3,119.52
2021-01,1124,8,0,No Active Campaign,0.0,0,0,0.0,168,212,1,1,,86.26,119.52
2021-01,1156,3,0,No Active Campaign,0.0,0,0,0.0,138,310,1,1,,99.04,0.0
2021-01,1177,5,0,No Active Campaign,0.0,0,0,0.0,124,339,0,0,,105.43,0.0
2021-01,1180,5,0,No Active Campaign,0.0,0,0,0.0,254,454,2,3,,105.43,119.52
2021-02,1021,1,0,No Active Campaign,0.0,0,0,0.0,174,422,0,0,,205.66,300.0
2021-02,1086,9,0,No Active Campaign,0.0,0,0,0.0,272,563,6,6,,67.92,44.84
2021-02,1087,6,0,No Active Campaign,0.0,0,0,0.0,295,488,2,3,,135.85,179.37
2021-02,1103,1,0,No Active Campaign,0.0,0,0,0.0,279,667,12,12,,205.66,134.53
2021-02,1124,9,0,No Active Campaign,0.0,0,0,0.0,252,690,3,3,,67.92,44.84
2021-02,1129,8,0,No Active Campaign,0.0,0,0,0.0,170,279,0,1,,77.36,89.69
2021-02,1164,9,0,No Active Campaign,0.0,0,0,0.0,193,444,3,3,,67.92,44.84
2021-02,1167,6,0,No Active Campaign,0.0,0,0,0.0,186,491,1,1,,135.85,44.84
2021-02,1173,3,0,No Active Campaign,0.0,0,0,0.0,188,418,4,6,,96.23,224.22
2021-02,1187,1,0,No Active Campaign,0.0,0,0,0.0,213,555,3,3,,205.66,179.37
2021-02,1190,10,1,Email,2431.36,61320,1512,2.466,1637,2126,38,145,16.77,54.72,134.53
2021-03,1012,9,0,No Active Campaign,0.0,0,0,0.0,225,583,2,2,,56.86,0.0
2021-03,1015,9,0,No Active Campaign,0.0,0,0,0.0,286,621,1,1,,56.86,0.0
2021-03,1021,7,0,No Active Campaign,0.0,0,0,0.0,215,307,0,1,,48.49,0.0
2021-03,1021,8,0,No Active Campaign,0.0,0,0,0.0,227,544,3,4,,78.6,109.09
2021-03,1027,8,0,No Active Campaign,0.0,0,0,0.0,250,356,3,3,,78.6,109.09
2021-03,1031,6,1,Webinar,9955.13,215599,5172,2.399,6015,11570,56,352,28.28,153.85,109.09
2021-03,1034,9,0,No Active Campaign,0.0,0,0,0.0,252,385,2,2,,56.86,72.73
2021-03,1059,5,0,No Active Campaign,0.0,0,0,0.0,254,358,1,2,,93.65,72.73
2021-03,1073,2,0,No Active Campaign,0.0,0,0,0.0,227,621,9,9,,112.04,145.45
2021-03,1082,8,0,No Active Campaign,0.0,0,0,0.0,301,715,6,8,,78.6,36.36
2021-03,1087,6,0,No Active Campaign,0.0,0,0,0.0,273,610,9,10,,153.85,145.45
2021-03,1089,3,0,No Active Campaign,0.0,0,0,0.0,241,429,5,5,,115.38,36.36
2021-03,1089,9,0,No Active Campaign,0.0,0,0,0.0,236,542,4,4,,56.86,72.73
2021-03,1096,2,1,Paid Search,8328.83,196526,4532,2.306,4850,12610,183,419,19.88,112.04,254.55
2021-03,1097,5,0,No Active Campaign,0.0,0,0,0.0,271,368,3,3,,93.65,36.36
2021-03,1117,7,0,No Active Campaign,0.0,0,0,0.0,236,451,7,7,,48.49,0.0
2021-03,1151,3,1,Paid Search,2383.73,62746,1683,2.682,1707,2485,15,118,20.2,115.38,181.82
2021-03,1184,1,0,No Active Campaign,0.0,0,0,0.0,267,577,3,4,,207.36,254.55
2021-03,1193,8,0,No Active Campaign,0.0,0,0,0.0,186,512,7,7,,78.6,72.73
2021-03,1194,1,0,No Active Campaign,0.0,0,0,0.0,292,651,11,11,,207.36,254.55
2021-04,1000,10,0,No Active Campaign,0.0,0,0,0.0,259,700,3,3,,46.31,0.0
2021-04,1021,6,0,No Active Campaign,0.0,0,0,0.0,258,669,0,0,,144.08,121.46
2021-04,1034,7,1,Content,3719.38,67761,1268,1.871,1440,2100,9,91,40.87,72.04,40.49
2021-04,1045,3,0,No Active Campaign,0.0,0,0,0.0,201,254,2,2,,89.19,0.0
2021-04,1048,7,0,No Active Campaign,0.0,0,0,0.0,215,564,3,4,,72.04,80.97
2021-04,1052,10,1,Webinar,3464.75,68225,1395,2.045,1476,3243,25,112,30.94,46.31,0.0
2021-04,1104,7,0,No Active Campaign,0.0,0,0,0.0,275,627,6,6,,72.04,80.97
2021-04,1127,4,0,No Active Campaign,0.0,0,0,0.0,187,391,1,2,,89.19,40.49
2021-04,1142,6,0,No Active Campaign,0.0,0,0,0.0,228,501,1,1,,144.08,80.97
2021-04,1142,10,0,No Active Campaign,0.0,0,0,0.0,247,353,1,2,,46.31,40.49
2021-04,1145,10,0,No Active Campaign,0.0,0,0,0.0,251,691,0,0,,46.31,40.49
2021-04,1156,1,0,No Active Campaign,0.0,0,0,0.0,230,510,3,3,,198.97,121.46
2021-04,1186,2,1,Content,5816.42,101251,2413,2.383,2271,5798,81,215,27.05,99.49,202.43
2021-04,1194,9,1,Email,6854.44,208378,5358,2.571,6436,8793,132,418,16.4,70.33,40.49
2021-04,1199,6,0,No Active Campaign,0.0,0,0,0.0,229,501,6,7,,144.08,300.0
2021-05,1000,6,0,No Active Campaign,0.0,0,0,0.0,232,478,2,3,,127.69,188.68
2021-05,1005,2,0,No Active Campaign,0.0,0,0,0.0,234,559,0,0,,107.79,37.74
2021-05,1017,10,0,No Active Campaign,0.0,0,0,0.0,286,668,4,4,,51.41,113.21
2021-05,1027,2,0,No Active Campaign,0.0,0,0,0.0,240,656,2,2,,107.79,0.0
2021-05,1044,4,0,No Active Campaign,0.0,0,0,0.0,215,485,4,4,,104.48,0.0
2021-05,1046,10,0,No Active Campaign,0.0,0,0,0.0,270,393,3,3,,51.41,37.74
2021-05,1049,8,0,No Active Campaign,0.0,0,0,0.0,221,578,3,3,,72.97,226.42
2021-05,1053,8,0,No Active Campaign,0.0,0,0,0.0,258,502,0,0,,72.97,226.42
2021-05,1081,8,0,No Active Campaign,0.0,0,0,0.0,268,703,5,5,,72.97,37.74
2021-05,1101,6,0,No Active Campaign,0.0,0,0,0.0,262,576,6,6,,127.69,75.47
2021-05,1123,9,0,No Active Campaign,0.0,0,0,0.0,139,191,0,0,,74.63,0.0
2021-05,1126,5,0,No Active Campaign,0.0,0,0,0.0,178,352,1,2,,109.45,75.47
2021-05,1143,7,0,No Active Campaign,0.0,0,0,0.0,259,324,1,1,,56.38,37.74
2021-05,1144,2,0,No Active Campaign,0.0,0,0,0.0,226,413,3,3,,107.79,150.94
2021-05,1145,7,0,No Active Campaign,0.0,0,0,0.0,200,387,1,2,,56.38,37.74
2021-05,1158,6,0,No Active Campaign,0.0,0,0,0.0,244,567,1,1,,127.69,113.21
2021-05,1186,10,1,Email,2132.09,44775,1129,2.521,1221,2033,32,84,25.38,51.41,113.21
2021-05,1190,6,1,Webinar,3893.95,81306,2070,2.546,2135,4147,71,187,20.82,127.69,188.68
2021-06,1001,8,0,No Active Campaign,0.0,0,0,0.0,271,714,3,3,,60.0,127.66
2021-06,1005,5,0,No Active Campaign,0.0,0,0,0.0,270,588,0,0,,107.27,170.21
2021-06,1036,4,0,No Active Campaign,0.0,0,0,0.0,236,498,0,1,,89.09,127.66
2021-06,1060,9,0,No Active Campaign,0.0,0,0,0.0,199,363,6,6,,69.09,85.11
2021-06,1065,10,0,No Active Campaign,0.0,0,0,0.0,231,612,5,6,,41.82,85.11
2021-06,1084,1,0,No Active Campaign,0.0,0,0,0.0,339,510,4,5,,227.27,170.21
2021-06,1084,8,0,No Active Campaign,0.0,0,0,0.0,271,565,3,3,,60.0,127.66
2021-06,1085,7,0,No Active Campaign,0.0,0,0,0.0,241,550,8,9,,69.09,85.11
2021-06,1094,5,0,No Active Campaign,0.0,0,0,0.0,254,447,5,5,,107.27,85.11
2021-06,1101,9,1,Paid Search,4365.86,63331,1470,2.321,1746,2307,33,127,34.38,69.09,85.11
2021-06,1112,2,0,No Active Campaign,0.0,0,0,0.0,214,326,1,1,,67.27,85.11
2021-06,1120,3,0,No Active Campaign,0.0,0,0,0.0,163,355,2,2,,105.45,212.77
2021-06,1127,10,0,No Active Campaign,0.0,0,0,0.0,188,407,0,0,,41.82,42.55
2021-06,1128,10,0,No Active Campaign,0.0,0,0,0.0,218,534,8,8,,41.82,42.55
2021-06,1159,9,0,No Active Campaign,0.0,0,0,0.0,241,589,3,3,,69.09,85.11
2021-06,1190,7,1,Email,1588.47,26681,524,1.964,664,1624,31,65,24.44,69.09,42.55
2021-06,1192,8,0,No Active Campaign,0.0,0,0,0.0,203,557,7,7,,60.0,42.55
2021-07,1019,2,0,No Active Campaign,0.0,0,0,0.0,258,585,1,1,,102.29,81.63
2021-07,1031,6,0,No Active Campaign,0.0,0,0,0.0,205,424,1,1,,135.8,122.45
2021-07,1042,1,1,Trade Fair,1865.18,34433,717,2.082,850,1595,5,63,29.61,215.17,40.82
2021-07,1049,8,0,No Active Campaign,0.0,0,0,0.0,215,417,1,1,,88.18,40.82
2021-07,1066,8,0,No Active Campaign,0.0,0,0,0.0,165,322,3,3,,88.18,0.0
2021-07,1067,4,0,No Active Campaign,0.0,0,0,0.0,208,264,5,5,,105.82,122.45
2021-07,1080,5,0,No Active Campaign,0.0,0,0,0.0,230,523,6,7,,84.66,81.63
2021-07,1090,2,0,No Active Campaign,0.0,0,0,0.0,247,671,10,10,,102.29,163.27
2021-07,1093,2,0,No Active Campaign,0.0,0,0,0.0,219,546,5,5,,102.29,163.27
2021-07,1105,2,0,No Active Campaign,0.0,0,0,0.0,251,545,6,6,,102.29,204.08
2021-07,1128,4,0,No Active Campaign,0.0,0,0,0.0,170,330,0,1,,105.82,81.63
2021-07,1146,8,0,No Active Campaign,0.0,0,0,0.0,211,469,0,0,,88.18,40.82
2021-07,1159,4,0,No Active Campaign,0.0,0,0,0.0,214,520,1,2,,105.82,122.45
2021-07,1160,7,0,No Active Campaign,0.0,0,0,0.0,104,224,0,0,,54.67,81.63
2021-07,1161,4,0,No Active Campaign,0.0,0,0,0.0,181,333,1,2,,105.82,81.63
2021-07,1191,7,0,No Active Campaign,0.0,0,0,0.0,242,480,5,5,,54.67,40.82
2021-08,1002,4,0,No Active Campaign,0.0,0,0,0.0,220,340,3,5,,83.62,80.97
2021-08,1041,9,1,Webinar,2527.21,65832,1504,2.285,1719,2430,10,112,22.56,76.66,80.97
2021-08,1057,2,1,Trade Fair,10561.55,281139,7117,2.531,7796,21032,179,568,18.59,94.08,121.46
2021-08,1059,3,1,Webinar,3693.36,96023,2012,2.095,2348,4016,23,142,26.01,106.27,121.46
2021-08,1080,1,1,Webinar,1595.69,26032,655,2.516,810,1484,17,50,31.91,202.09,40.49
2021-08,1087,9,1,Email,5532.04,81111,1876,2.313,2227,4288,39,143,38.69,76.66,80.97
2021-08,1093,6,0,No Active Campaign,0.0,0,0,0.0,256,360,2,2,,149.83,161.94
2021-08,1153,9,0,No Active Campaign,0.0,0,0,0.0,211,509,0,0,,76.66,40.49
2021-08,1160,5,0,No Active Campaign,0.0,0,0,0.0,125,215,1,2,,106.27,40.49
