year_month,product_family,product_group,region_id,market_demand_index,market_growth_pct,competitor_pressure_index,seasonality_index,macro_business_index,supply_pressure_index,pipeline_interest_index,demand_shock_flag,market_opportunity_score,regional_market_growth_factor
2021-01,Accessories,Accessory Kit,5,97.79,0.0,61.65,100.0,100.26,40.85,0.0,0,56.43,0.97
2021-01,Accessories,Accessory Kit,8,101.11,0.0,60.48,100.0,100.26,41.72,79.68,0,76.21,1.07
2021-01,Components,Connectivity Module,7,100.81,0.0,41.85,100.0,100.26,40.34,119.52,0,85.07,1.04
2021-01,Industrial Tech,Industrial Scanner,8,96.78,0.0,38.97,100.0,100.26,40.64,39.84,0,70.2,1.07
2021-01,Industrial Tech,Industrial Scanner,10,97.48,0.0,60.28,100.0,100.26,40.53,0.0,0,56.65,0.95
2021-01,IT Devices,Laptop Pro,2,101.27,0.0,60.5,100.0,100.26,39.49,79.68,0,76.6,1.02
2021-01,IT Devices,Laptop Standard,8,100.08,0.0,40.17,100.0,100.26,42.13,79.68,0,80.2,1.07
2021-01,Legacy Products,Legacy Workstation,5,81.66,0.0,55.32,100.0,100.26,40.37,159.36,1,74.44,0.97
2021-01,Legacy Products,Legacy Workstation,10,94.68,0.0,46.66,100.0,100.26,41.63,0.0,0,58.36,0.95
2021-01,Medical Devices,Medical Sensor,3,99.21,0.0,43.71,100.0,100.26,41.65,278.88,0,83.82,1.09
2021-01,Medical Devices,Medical Sensor,8,98.51,0.0,55.22,100.0,100.26,41.92,119.52,0,80.97,1.07
2021-01,Medical Devices,Monitoring Device,5,94.8,0.0,60.66,100.0,100.26,48.17,79.68,0,72.68,0.97
2021-01,Medical Devices,Monitoring Device,8,102.56,0.0,67.37,100.0,100.26,40.16,79.68,0,75.51,1.07
2021-01,Services,Service Contract,3,100.13,0.0,69.77,100.0,100.26,40.29,39.84,0,64.82,1.09
2021-01,IT Devices,Tablet Enterprise,2,100.36,0.0,54.57,100.0,100.26,40.67,39.84,0,68.2,1.02
2021-02,Accessories,Accessory Kit,3,100.87,1.9,74.49,100.0,103.46,42.29,224.22,0,77.62,1.09
