cost_id,year_month,product_id,standard_unit_cost_eur,actual_unit_cost_eur,cost_variance_eur,cost_variance_pct
1,2021-01-01,1000,690.85,718.51,27.66,0.04003763479771296
2,2021-01-01,1001,711.19,675.77,-35.42,-0.04980384988540334
3,2021-01-01,1002,734.48,748.53,14.05,0.019129179827905456
4,2021-01-01,1003,738.29,743.27,4.98,0.006745316880900459
5,2021-01-01,1004,750.02,717.72,-32.3,-0.04306551825284659
6,2021-01-01,1005,814.33,878.74,64.41,0.07909569830412731
7,2021-01-01,1006,709.78,694.4,-15.38,-0.02166868607174054
8,2021-01-01,1007,998.39,964.51,-33.88,-0.033934634761966766
9,2021-01-01,1008,685.62,732.8,47.18,0.068813628540591
10,2021-01-01,1009,554.85,535.62,-19.23,-0.03465801567991349
11,2021-01-01,1010,550.42,587.55,37.13,0.0674575778496421
12,2021-01-01,1011,698.53,748.0,49.47,0.07082015088829399
13,2021-01-01,1012,772.67,797.03,24.36,0.031527042592568624
14,2021-01-01,1013,553.31,554.16,0.85,0.0015362093582259493
15,2021-01-01,1014,579.73,619.86,40.13,0.06922187915063908
16,2021-01-01,1015,538.02,555.39,17.37,0.03228504516560723
17,2021-01-01,1016,703.31,755.31,52.0,0.07393610214556881
18,2021-01-01,1017,784.32,786.59,2.27,0.0028942268461852306
19,2021-01-01,1018,552.75,583.1,30.35,0.05490728177295341
20,2021-01-01,1019,667.7,639.89,-27.81,-0.04165044181518646
21,2021-01-01,1020,539.15,515.16,-23.99,-0.04449596587220625
22,2021-01-01,1021,409.71,436.64,26.93,0.06572941836909033
23,2021-01-01,1022,465.06,491.45,26.39,0.05674536618930891
24,2021-01-01,1023,437.74,428.07,-9.67,-0.022090738794718325
25,2021-01-01,1024,392.96,418.22,25.26,0.06428135179153094
26,2021-01-01,1025,405.01,409.25,4.24,0.010468877311671317
27,2021-01-01,1026,421.36,445.88,24.52,0.058192519460793624
28,2021-01-01,1027,615.03,615.05,0.02,3.25187389233045e-05
29,2021-01-01,1028,460.66,443.88,-16.78,-0.036425997481873834
30,2021-01-01,1029,497.54,514.01,16.47,0.033102866101217994
31,2021-01-01,1030,387.77,390.5,2.73,0.007040255821750006
32,2021-01-01,1031,532.54,516.14,-16.4,-0.030795808765538737
33,2021-01-01,1032,450.5,434.46,-16.04,-0.03560488346281909
34,2021-01-01,1033,528.99,502.62,-26.37,-0.04984971360517212
35,2021-01-01,1034,471.95,491.28,19.33,0.04095772857294205
36,2021-01-01,1035,533.42,535.82,2.4,0.004499268868808818
37,2021-01-01,1036,432.16,426.01,-6.15,-0.014230840429470567
38,2021-01-01,1037,542.26,572.69,30.43,0.05611699184892856
39,2021-01-01,1038,367.56,393.78,26.22,0.0713352921971923
40,2021-01-01,1039,609.9,592.41,-17.49,-0.02867683226758485
41,2021-01-01,1040,262.34,274.89,12.55,0.047838682625600364
42,2021-01-01,1041,245.99,244.79,-1.2,-0.0048782470832147646
43,2021-01-01,1042,330.1,336.11,6.01,0.018206604059375946
44,2021-01-01,1043,330.3,347.45,17.15,0.051922494701786254
45,2021-01-01,1044,278.49,282.0,3.51,0.012603684153829581
46,2021-01-01,1045,268.11,257.53,-10.58,-0.039461415090820934
47,2021-01-01,1046,351.57,369.09,17.52,0.04983360354979094
48,2021-01-01,1047,267.97,274.2,6.23,0.023248871142292047
49,2021-01-01,1048,300.46,304.39,3.93,0.013079944085735207
50,2021-01-01,1049,381.39,366.68,-14.71,-0.03856944335194945
51,2021-01-01,1050,308.66,316.1,7.44,0.024104192315168794
52,2021-01-01,1051,296.34,295.58,-0.76,-0.002564621718296551
53,2021-01-01,1052,275.9,286.19,10.29,0.0372961217832548
54,2021-01-01,1053,371.84,382.77,10.93,0.029394363166953527
55,2021-01-01,1054,343.88,328.78,-15.1,-0.043910666511573805
56,2021-01-01,1055,296.86,299.06,2.2,0.007410900761301624
57,2021-01-01,1056,278.48,287.69,9.21,0.033072392990519964
58,2021-01-01,1057,306.14,299.96,-6.18,-0.020186842621023063
59,2021-01-01,1058,263.98,261.58,-2.4,-0.009091597848321843
60,2021-01-01,1059,280.72,291.85,11.13,0.039648047876888005
61,2021-01-01,1060,69.53,70.39,0.86,0.012368761685603337
62,2021-01-01,1061,152.91,147.18,-5.73,-0.037473023347066904
63,2021-01-01,1062,115.51,116.44,0.93,0.00805125097394165
64,2021-01-01,1063,87.14,83.96,-3.18,-0.03649299977048428
65,2021-01-01,1064,87.36,92.99,5.63,0.06444597069597069
66,2021-01-01,1065,83.61,81.17,-2.44,-0.029183112067934457
67,2021-01-01,1066,95.01,96.99,1.98,0.02083991158825387
68,2021-01-01,1067,89.58,95.1,5.52,0.061620897521768254
69,2021-01-01,1068,111.61,117.18,5.57,0.049905922408386344
70,2021-01-01,1069,98.82,102.18,3.36,0.03400121432908318
71,2021-01-01,1070,126.81,130.31,3.5,0.027600346975790554
72,2021-01-01,1071,97.28,99.6,2.32,0.023848684210526317
73,2021-01-01,1072,123.44,126.52,3.08,0.024951393389500972
74,2021-01-01,1073,85.95,85.43,-0.52,-0.006050029086678301
75,2021-01-01,1074,101.62,101.93,0.31,0.0030505805943711866
76,2021-01-01,1075,157.01,154.9,-2.11,-0.013438634481880134
77,2021-01-01,1076,108.27,104.68,-3.59,-0.03315784612542717
78,2021-01-01,1077,146.13,142.87,-3.26,-0.022308903031547252
79,2021-01-01,1078,110.96,107.1,-3.86,-0.03478731074260995
80,2021-01-01,1079,89.93,86.98,-2.95,-0.0328032914489047
81,2021-01-01,1080,590.25,583.38,-6.87,-0.011639135959339263
82,2021-01-01,1081,474.81,488.05,13.24,0.02788483814578463
83,2021-01-01,1082,537.66,552.84,15.18,0.028233456087490234
84,2021-01-01,1083,587.61,579.87,-7.74,-0.013172001837953745
85,2021-01-01,1084,408.66,440.51,31.85,0.07793764988009592
86,2021-01-01,1085,441.11,433.51,-7.6,-0.01722926254222303
87,2021-01-01,1086,408.81,427.25,18.44,0.045106528705266505
88,2021-01-01,1087,312.54,314.02,1.48,0.004735393869584693
89,2021-01-01,1088,699.84,732.78,32.94,0.0470679012345679
90,2021-01-01,1089,311.42,334.11,22.69,0.07285980348082975
91,2021-01-01,1090,395.27,398.7,3.43,0.008677612771017279
92,2021-01-01,1091,467.4,471.25,3.85,0.008237056054771074
93,2021-01-01,1092,447.44,460.29,12.85,0.028718934382263545
94,2021-01-01,1093,412.67,440.99,28.32,0.06862626311580682
95,2021-01-01,1094,426.2,417.8,-8.4,-0.019709056780854058
96,2021-01-01,1095,494.6,489.99,-4.61,-0.009320663162151233
97,2021-01-01,1096,499.27,475.7,-23.57,-0.04720892503054459
98,2021-01-01,1097,421.65,405.21,-16.44,-0.038989683386695125
99,2021-01-01,1098,381.37,379.48,-1.89,-0.004955817185410494
100,2021-01-01,1099,525.05,554.24,29.19,0.055594705266165126
101,2021-01-01,1100,876.75,924.09,47.34,0.05399486740804106
102,2021-01-01,1101,891.87,894.09,2.22,0.0024891520064583405
103,2021-01-01,1102,1068.25,1122.57,54.32,0.05084952024338872
104,2021-01-01,1103,1161.13,1120.55,-40.58,-0.03494871375298201
