activity_id,date_id,activity_date,customer_id,sales_rep_id,activity_type,activity_minutes,sentiment_score,customer_health_score,customer_health_band
1,20240516,2024-05-16,786,2,Business Review,18,0.128,68.1,Neutral
2,20241113,2024-11-13,874,22,Visit,48,-0.712,62.4,Neutral
3,20230913,2023-09-13,769,76,Email,40,0.731,81.9,Healthy
4,20241004,2024-10-04,372,62,Call,29,-0.526,61.3,Neutral
5,20230821,2023-08-21,54,17,Demo,36,0.7,78.5,Healthy
6,20250303,2025-03-03,480,34,Call,15,-0.563,53.1,Neutral
7,20251224,2025-12-24,598,45,Email,44,0.311,80.0,Healthy
8,20251211,2025-12-11,520,2,Call,35,0.332,73.1,Neutral
9,20251203,2025-12-03,1144,20,Email,17,-0.146,67.2,Neutral
10,20250309,2025-03-09,1158,75,Call,17,0.468,68.0,Neutral
11,20231208,2023-12-08,1017,37,Email,25,-0.144,67.3,Neutral
12,20230114,2023-01-14,471,14,Email,37,0.15,72.4,Neutral
13,20230903,2023-09-03,141,43,Training,73,-1.0,53.1,Neutral
14,20250304,2025-03-04,849,79,Training,36,0.308,60.2,Neutral
15,20220617,2022-06-17,502,41,Visit,51,0.728,77.1,Healthy
16,20211110,2021-11-10,491,71,Email,56,-0.437,54.8,Neutral
17,20251103,2025-11-03,730,33,Call,14,0.201,66.5,Neutral
18,20240211,2024-02-11,139,22,Call,5,-0.102,74.9,Neutral
19,20230914,2023-09-14,403,14,Call,27,-0.278,56.6,Neutral
20,20241224,2024-12-24,332,80,Email,17,-0.405,80.0,Healthy
21,20230907,2023-09-07,1145,6,Email,27,0.855,70.9,Neutral
22,20240108,2024-01-08,425,58,Call,21,0.753,75.1,Healthy
23,20250701,2025-07-01,930,22,Email,5,-0.993,55.3,Neutral
24,20250427,2025-04-27,195,35,Email,23,-0.321,57.5,Neutral
25,20251217,2025-12-17,338,7,Call,27,-0.295,52.8,Neutral
26,20240426,2024-04-26,267,78,Email,32,0.44,76.8,Healthy
27,20211224,2021-12-24,1050,27,Demo,41,-0.356,55.6,Neutral
28,20230826,2023-08-26,985,54,Call,42,0.334,69.5,Neutral
29,20230926,2023-09-26,52,68,Business Review,28,0.09,71.4,Neutral
30,20240521,2024-05-21,640,34,Email,35,0.065,77.0,Healthy
31,20221025,2022-10-25,834,37,Demo,5,0.438,62.6,Neutral
32,20250816,2025-08-16,224,11,Demo,27,0.0,62.7,Neutral
33,20241208,2024-12-08,1034,40,Email,56,0.807,77.4,Healthy
34,20210930,2021-09-30,117,2,Email,51,0.486,70.4,Neutral
35,20230613,2023-06-13,904,21,Email,26,-0.674,52.7,Neutral
36,20220616,2022-06-16,1069,22,Call,41,0.121,67.8,Neutral
37,20210630,2021-06-30,829,50,Email,29,-0.452,62.4,Neutral
38,20241226,2024-12-26,994,60,Business Review,5,-0.807,45.3,At Risk
39,20230810,2023-08-10,336,71,Call,61,0.646,65.4,Neutral
40,20220123,2022-01-23,534,79,Call,24,-0.08,59.5,Neutral
41,20231209,2023-12-09,712,9,Email,22,-0.065,66.1,Neutral
42,20251004,2025-10-04,118,49,Visit,35,-0.586,63.3,Neutral
43,20250806,2025-08-06,171,64,Business Review,44,-0.267,60.7,Neutral
44,20240909,2024-09-09,591,39,Call,55,0.813,75.1,Healthy
45,20231124,2023-11-24,1076,43,Email,47,-0.693,52.9,Neutral
46,20231030,2023-10-30,417,22,Email,24,-0.455,64.4,Neutral
47,20230914,2023-09-14,267,59,Call,23,-0.144,47.6,At Risk
48,20250527,2025-05-27,796,24,Call,49,0.757,79.9,Healthy
49,20231026,2023-10-26,1062,11,Call,46,0.062,70.8,Neutral
50,20250723,2025-07-23,280,61,Demo,42,0.314,78.5,Healthy
51,20250302,2025-03-02,928,75,Email,24,-0.285,58.7,Neutral
52,20250319,2025-03-19,928,22,Email,28,-0.616,55.7,Neutral
53,20250929,2025-09-29,513,79,Email,54,-0.169,68.6,Neutral
54,20250204,2025-02-04,795,52,Email,30,0.282,67.1,Neutral
55,20210827,2021-08-27,534,40,Call,18,0.298,73.2,Neutral
56,20220701,2022-07-01,406,68,Business Review,44,-0.896,56.0,Neutral
57,20241102,2024-11-02,250,52,Business Review,55,0.098,67.8,Neutral
58,20240222,2024-02-22,1172,84,Call,44,-0.525,38.7,At Risk
59,20240912,2024-09-12,311,31,Demo,25,0.822,69.6,Neutral
60,20250606,2025-06-06,799,48,Call,53,0.561,62.8,Neutral
61,20240813,2024-08-13,304,77,Training,37,0.608,81.3,Healthy
62,20250501,2025-05-01,837,66,Training,42,-1.0,56.5,Neutral
63,20230622,2023-06-22,250,41,Call,29,-0.128,70.8,Neutral
64,20251115,2025-11-15,895,22,Demo,19,-0.128,65.6,Neutral
65,20240311,2024-03-11,1045,28,Call,20,-0.21,86.7,Healthy
66,20230617,2023-06-17,143,33,Call,42,0.55,76.2,Healthy
67,20250504,2025-05-04,849,79,Training,23,-0.422,57.6,Neutral
68,20240809,2024-08-09,487,27,Call,28,-0.559,54.6,Neutral
69,20240404,2024-04-04,1093,70,Email,84,0.389,76.1,Healthy
70,20250806,2025-08-06,856,29,Email,29,0.839,84.1,Healthy
71,20231020,2023-10-20,955,63,Call,45,0.313,73.1,Neutral
72,20210512,2021-05-12,992,23,Demo,55,-0.749,48.0,At Risk
73,20220816,2022-08-16,128,23,Visit,38,0.231,74.2,Neutral
74,20230205,2023-02-05,107,71,Visit,34,0.894,71.8,Neutral
75,20240608,2024-06-08,426,50,Call,39,0.251,68.4,Neutral
76,20251107,2025-11-07,819,67,Email,31,-0.183,52.1,Neutral
77,20250704,2025-07-04,425,44,Call,57,0.17,79.7,Healthy
78,20251104,2025-11-04,598,45,Call,59,0.417,68.4,Neutral
79,20250305,2025-03-05,947,71,Call,15,0.333,70.8,Neutral
80,20231008,2023-10-08,1069,46,Email,61,0.272,75.2,Healthy
81,20211107,2021-11-07,79,80,Call,29,0.277,71.5,Neutral
82,20230808,2023-08-08,761,53,Call,43,0.25,64.9,Neutral
83,20250404,2025-04-04,884,53,Email,26,0.341,79.7,Healthy
84,20231120,2023-11-20,75,82,Call,54,0.535,70.9,Neutral
85,20221117,2022-11-17,1029,56,Call,37,0.023,59.0,Neutral
86,20230222,2023-02-22,957,80,Call,57,0.348,78.1,Healthy
87,20240719,2024-07-19,34,9,Email,63,-0.501,38.7,At Risk
88,20211124,2021-11-24,1154,31,Email,5,-0.535,68.4,Neutral
89,20250729,2025-07-29,96,17,Email,25,1.0,88.3,Healthy
90,20231112,2023-11-12,573,16,Demo,33,-0.144,60.8,Neutral
91,20250916,2025-09-16,542,32,Call,38,-0.921,47.0,At Risk
92,20220221,2022-02-21,21,12,Business Review,25,-0.183,53.4,Neutral
93,20250531,2025-05-31,1018,82,Call,75,1.0,68.7,Neutral
94,20240520,2024-05-20,484,44,Call,15,0.908,83.1,Healthy
95,20250425,2025-04-25,1047,48,Call,56,0.301,57.9,Neutral
96,20230921,2023-09-21,750,40,Visit,58,-1.0,47.5,At Risk
97,20210723,2021-07-23,762,28,Email,40,-0.253,62.6,Neutral
98,20240215,2024-02-15,173,10,Business Review,39,-0.648,54.1,Neutral
99,20240615,2024-06-15,475,53,Demo,44,0.221,83.4,Healthy
100,20220525,2022-05-25,950,65,Visit,61,0.589,76.9,Healthy
101,20240814,2024-08-14,997,47,Business Review,48,0.329,82.9,Healthy
102,20231105,2023-11-05,765,36,Call,49,0.45,76.5,Healthy
103,20230603,2023-06-03,1188,38,Call,57,-0.496,62.7,Neutral
104,20240623,2024-06-23,632,12,Email,60,-0.286,69.5,Neutral
105,20250813,2025-08-13,363,62,Call,60,0.002,62.4,Neutral
106,20210623,2021-06-23,130,67,Visit,27,-0.24,51.1,Neutral
107,20211217,2021-12-17,866,46,Email,35,0.261,69.9,Neutral
108,20230222,2023-02-22,1083,81,Call,46,-1.0,44.5,At Risk
109,20251122,2025-11-22,329,70,Call,20,0.537,57.3,Neutral
110,20240604,2024-06-04,296,50,Training,10,0.07,63.7,Neutral
111,20230628,2023-06-28,155,62,Email,40,0.111,51.2,Neutral
112,20250207,2025-02-07,732,15,Business Review,60,-0.599,48.4,At Risk
113,20230924,2023-09-24,982,50,Call,36,0.559,77.2,Healthy
114,20210302,2021-03-02,1034,76,Call,41,-0.013,52.2,Neutral
115,20230826,2023-08-26,684,69,Call,15,0.577,70.4,Neutral
116,20230112,2023-01-12,156,22,Email,35,-0.308,76.6,Healthy
117,20240903,2024-09-03,974,43,Email,58,0.437,68.8,Neutral
118,20220122,2022-01-22,50,27,Email,71,-0.763,62.9,Neutral
119,20221016,2022-10-16,837,48,Call,63,1.0,89.3,Healthy
120,20250928,2025-09-28,212,68,Demo,55,0.938,94.2,Healthy
121,20240728,2024-07-28,42,5,Visit,28,-0.461,52.2,Neutral
122,20240214,2024-02-14,902,24,Training,55,-0.347,65.8,Neutral
123,20240213,2024-02-13,1081,35,Call,17,0.854,74.8,Neutral
124,20250621,2025-06-21,569,42,Call,85,0.211,60.3,Neutral
