customer_id,customer_code,customer_segment,industry,region_id,customer_since,customer_size_score,base_churn_probability,churn_risk_band
1,CUST-00001,Mid-Market,Government,5,2020-07-01,3403.0,46.0,High Churn Risk
2,CUST-00002,Distributor,Healthcare,6,2021-08-05,6307.0,122.0,High Churn Risk
3,CUST-00003,SMB,Manufacturing,6,2020-09-30,663.0,18.0,High Churn Risk
4,CUST-00004,Mid-Market,Education,6,2024-01-05,3272.0,79.0,High Churn Risk
5,CUST-00005,Mid-Market,Manufacturing,8,2023-06-12,2199.0,76.0,High Churn Risk
6,CUST-00006,Mid-Market,Education,6,2022-03-09,6409.0,88.0,High Churn Risk
7,CUST-00007,Distributor,Technology,4,2023-10-18,4921.0,116.0,High Churn Risk
8,CUST-00008,SMB,Healthcare,4,2023-11-10,1187.0,155.0,High Churn Risk
9,CUST-00009,SMB,Government,1,2021-06-23,767.0,13.0,High Churn Risk
10,CUST-00010,Public Sector,Manufacturing,9,2020-12-31,749.0,62.0,High Churn Risk
11,CUST-00011,Public Sector,Technology,3,2021-09-11,468.0,62.0,High Churn Risk
12,CUST-00012,Public Sector,Healthcare,5,2021-10-28,1948.0,67.0,High Churn Risk
13,CUST-00013,Public Sector,Manufacturing,1,2020-01-05,6593.0,33.0,High Churn Risk
14,CUST-00014,Distributor,Education,3,2023-04-22,5225.0,87.0,High Churn Risk
15,CUST-00015,Mid-Market,Logistics,6,2022-05-07,2372.0,79.0,High Churn Risk
16,CUST-00016,Distributor,Manufacturing,4,2020-04-11,5595.0,87.0,High Churn Risk
17,CUST-00017,Mid-Market,Logistics,1,2021-04-06,1206.0,99.0,High Churn Risk
18,CUST-00018,Mid-Market,Education,1,2021-12-10,3665.0,61.0,High Churn Risk
19,CUST-00019,Mid-Market,Technology,2,2021-12-19,2537.0,6.0,High Churn Risk
20,CUST-00020,Enterprise,Government,5,2020-05-14,8282.0,31.0,High Churn Risk
21,CUST-00021,Enterprise,Retail,2,2020-07-22,7558.0,41.0,High Churn Risk
22,CUST-00022,Distributor,Government,10,2022-07-09,2887.0,64.0,High Churn Risk
23,CUST-00023,Mid-Market,Technology,3,2020-11-29,884.0,93.0,High Churn Risk
24,CUST-00024,SMB,Manufacturing,5,2022-02-20,1021.0,125.0,High Churn Risk
25,CUST-00025,Public Sector,Education,6,2022-02-25,3123.0,47.0,High Churn Risk
26,CUST-00026,SMB,Education,7,2020-02-15,2395.0,225.0,High Churn Risk
27,CUST-00027,Mid-Market,Healthcare,9,2022-12-26,3637.0,93.0,High Churn Risk
28,CUST-00028,Mid-Market,Technology,4,2020-04-02,2486.0,85.0,High Churn Risk
29,CUST-00029,Public Sector,Retail,8,2023-01-25,3211.0,42.0,High Churn Risk
30,CUST-00030,Mid-Market,Government,1,2020-02-24,3737.0,89.0,High Churn Risk
31,CUST-00031,SMB,Technology,5,2021-11-08,1256.0,16.0,High Churn Risk
32,CUST-00032,Mid-Market,Government,1,2020-09-30,6644.0,99.0,High Churn Risk
33,CUST-00033,Mid-Market,Manufacturing,5,2023-12-10,3335.0,47.0,High Churn Risk
34,CUST-00034,Enterprise,Retail,9,2020-01-03,10479.0,31.0,High Churn Risk
35,CUST-00035,SMB,Manufacturing,5,2022-09-17,2.0,209.0,High Churn Risk
36,CUST-00036,SMB,Manufacturing,4,2023-06-12,13.0,148.0,High Churn Risk
