inventory_id,year_month,product_id,region_id,opening_stock_units,production_units,ending_stock_units,stockout_flag,inventory_value_eur,zero_stock_flag
1,2021-01-01,1001,4,6,8,5,False,2053.73,0
2,2021-01-01,1001,6,22,14,19,False,8085.9,0
3,2021-01-01,1001,8,36,25,38,False,10735.77,0
4,2021-01-01,1001,9,17,11,15,False,2239.53,0
5,2021-01-01,1001,10,56,35,53,False,20336.82,0
6,2021-01-01,1007,2,19,30,22,False,10569.49,0
7,2021-01-01,1007,3,20,20,14,False,593.5,0
8,2021-01-01,1007,8,27,41,38,False,22278.96,0
9,2021-01-01,1008,2,31,20,29,False,8038.48,0
10,2021-01-01,1009,4,15,18,15,False,5975.29,0
11,2021-01-01,1010,2,40,35,48,False,25117.89,0
12,2021-01-01,1010,3,9,12,9,False,317.75,0
13,2021-01-01,1014,1,2,2,2,False,748.6,0
14,2021-01-01,1014,8,7,7,8,False,5172.18,0
15,2021-01-01,1019,3,13,8,11,False,3966.82,0
16,2021-01-01,1019,7,4,4,2,False,864.63,0
17,2021-01-01,1019,9,103,53,98,False,46054.43,0
18,2021-01-01,1021,1,28,18,28,False,6428.8,0
19,2021-01-01,1021,2,140,87,141,False,33901.83,0
20,2021-01-01,1021,3,58,64,75,False,3008.22,0
21,2021-01-01,1021,5,50,67,57,False,17866.96,0
22,2021-01-01,1022,1,57,49,69,False,19123.22,0
23,2021-01-01,1022,6,8,17,12,False,2456.02,0
24,2021-01-01,1023,4,55,70,75,False,26346.35,0
25,2021-01-01,1023,6,31,28,32,False,7487.77,0
26,2021-01-01,1023,10,58,84,69,False,9942.86,0
27,2021-01-01,1024,1,25,13,21,False,6879.9,0
28,2021-01-01,1027,1,6,6,4,False,1179.66,0
29,2021-01-01,1027,8,27,18,24,False,3448.42,0
30,2021-01-01,1028,1,15,18,18,False,4117.13,0
31,2021-01-01,1031,1,106,121,142,False,75198.53,0
32,2021-01-01,1031,3,72,52,63,False,7791.57,0
33,2021-01-01,1031,5,123,132,156,False,48666.26,0
34,2021-01-01,1031,7,48,40,51,False,4667.15,0
35,2021-01-01,1031,10,13,11,16,False,694.74,0
36,2021-01-01,1032,3,136,90,150,False,23646.25,0
37,2021-01-01,1032,4,41,55,42,False,5975.12,0
38,2021-01-01,1035,1,19,16,21,False,10674.84,0
39,2021-01-01,1035,2,20,21,23,False,1420.09,0
40,2021-01-01,1035,6,18,11,15,False,7965.2,0
41,2021-01-01,1035,7,23,39,28,False,17095.27,0
42,2021-01-01,1036,2,39,44,51,False,12930.12,0
43,2021-01-01,1036,5,2,2,1,False,224.82,0
44,2021-01-01,1037,5,41,97,70,False,29129.57,0
45,2021-01-01,1037,9,13,11,10,False,5306.03,0
46,2021-01-01,1038,3,96,129,122,False,39828.14,0
47,2021-01-01,1038,6,86,43,79,False,10032.22,0
48,2021-01-01,1038,10,124,117,146,False,92436.61,0
49,2021-01-01,1039,1,46,28,38,False,3602.91,0
50,2021-01-01,1039,2,22,14,17,False,6727.95,0
51,2021-01-01,1039,3,34,38,42,False,16575.93,0
52,2021-01-01,1039,8,78,79,100,False,41363.05,0
53,2021-01-01,1040,2,25,15,25,False,4921.84,0
54,2021-01-01,1042,3,122,130,162,False,19000.76,0
55,2021-01-01,1043,6,24,26,27,False,12208.71,0
56,2021-01-01,1043,10,61,47,73,False,39028.87,0
57,2021-01-01,1044,2,89,138,128,False,11930.2,0
58,2021-01-01,1044,3,15,18,10,False,2017.69,0
59,2021-01-01,1044,5,46,56,52,False,3196.46,0
60,2021-01-01,1051,2,31,42,38,False,12234.26,0
61,2021-01-01,1052,8,55,102,85,False,34556.48,0
62,2021-01-01,1054,5,111,70,98,False,25765.01,0
63,2021-01-01,1055,4,14,19,19,False,4682.03,0
64,2021-01-01,1055,9,84,71,100,False,61011.58,0
65,2021-01-01,1056,6,16,18,20,False,3126.32,0
66,2021-01-01,1062,2,7,13,8,False,1624.45,0
67,2021-01-01,1062,7,203,160,209,False,100509.33,0
68,2021-01-01,1063,4,79,42,65,False,34466.33,0
69,2021-01-01,1063,5,69,85,91,False,43239.99,0
70,2021-01-01,1063,6,6,8,6,False,2161.44,0
71,2021-01-01,1065,6,12,9,13,False,3073.35,0
72,2021-01-01,1067,5,1,2,1,False,341.78,0
73,2021-01-01,1067,6,3,3,3,False,793.56,0
74,2021-01-01,1067,8,7,5,6,False,3197.67,0
75,2021-01-01,1068,3,2,2,1,False,362.19,0
76,2021-01-01,1068,4,89,53,80,False,20747.72,0
77,2021-01-01,1068,10,30,38,35,False,22599.04,0
78,2021-01-01,1069,2,25,35,30,False,17416.79,0
79,2021-01-01,1070,1,24,16,26,False,8379.69,0
80,2021-01-01,1070,5,7,9,8,False,5100.64,0
81,2021-01-01,1076,3,230,126,226,False,144815.04,0
82,2021-01-01,1076,4,25,38,26,False,11180.9,0
83,2021-01-01,1077,1,10,14,8,False,3103.12,0
84,2021-01-01,1077,2,29,48,28,False,3908.5,0
85,2021-01-01,1077,4,41,45,36,False,11709.77,0
86,2021-01-01,1077,9,13,10,10,False,1623.05,0
87,2021-01-01,1078,5,86,62,75,False,45145.87,0
88,2021-01-01,1078,6,28,22,34,False,20105.85,0
89,2021-01-01,1078,7,56,43,62,False,6973.67,0
90,2021-01-01,1078,9,41,47,43,False,17277.33,0
91,2021-01-01,1079,2,79,72,68,False,39799.56,0
92,2021-01-01,1080,2,2,2,2,False,378.14,0
93,2021-01-01,1091,2,20,28,24,False,15153.95,0
94,2021-01-01,1092,2,282,207,284,False,136653.23,0
95,2021-01-01,1092,3,58,66,62,False,26176.43,0
96,2021-01-01,1092,6,17,14,20,False,9238.42,0
97,2021-01-01,1092,8,27,53,36,False,16963.12,0
98,2021-01-01,1099,1,31,21,33,False,15905.95,0
99,2021-01-01,1099,6,6,8,5,False,1976.72,0
100,2021-01-01,1101,5,81,66,100,False,36040.72,0
101,2021-01-01,1101,10,43,57,36,False,10077.82,0
102,2021-01-01,1102,10,17,19,14,False,8524.71,0
103,2021-01-01,1103,3,55,49,67,False,28598.02,0
104,2021-01-01,1103,4,28,31,26,False,12689.6,0
105,2021-01-01,1103,6,53,25,46,False,4157.19,0
106,2021-01-01,1109,3,34,34,42,False,25431.22,0
107,2021-01-01,1112,1,10,20,13,False,3004.82,0
108,2021-01-01,1112,2,88,55,71,False,10616.49,0
109,2021-01-01,1114,3,60,35,52,False,27772.55,0
110,2021-01-01,1116,7,37,58,41,False,9456.21,0
111,2021-01-01,1118,1,13,11,13,False,1099.29,0
112,2021-01-01,1118,2,7,7,5,False,1863.9,0
113,2021-01-01,1118,4,40,21,35,False,8307.84,0
114,2021-01-01,1118,5,18,22,23,False,9460.9,0
