opportunity_id,created_date,customer_id,product_group,sales_rep_id,stage,expected_value_eur,win_probability,expected_close_date,created_date_id,weighted_pipeline_eur,days_to_close,is_closed_won,is_closed_lost
1,2022-06-06,893,Connectivity Module,53,Proposal,3925.15,0.448,2022-10-20,20220606,1758.47,136,0,0
2,2025-11-10,312,Tablet Enterprise,61,Closed Won,26014.6,0.993,2026-05-03,20251110,25832.5,174,1,0
3,2022-11-05,1141,Accessory Kit,12,Qualified,41945.33,0.266,2023-01-13,20221105,11157.46,69,0,0
4,2025-10-26,185,Laptop Pro,30,Negotiation,120169.35,0.714,2026-04-19,20251026,85800.92,175,0,0
5,2025-02-14,882,Service Contract,31,Proposal,119940.39,0.406,2025-06-09,20250214,48695.8,115,0,0
6,2024-11-06,351,Connectivity Module,80,Qualified,19703.2,0.283,2025-01-27,20241106,5576.01,82,0,0
7,2024-11-29,679,Laptop Pro,14,Proposal,29641.05,0.476,2025-05-06,20241129,14109.14,158,0,0
8,2025-04-15,301,Legacy Workstation,5,Qualified,73250.3,0.231,2025-05-10,20250415,16920.82,25,0,0
9,2021-05-09,1049,Connectivity Module,28,Closed Lost,5114.71,0.0,2021-06-16,20210509,0.0,38,0,1
10,2025-03-09,848,Industrial Scanner,37,Qualified,40718.53,0.123,2025-08-21,20250309,5008.38,165,0,0
11,2023-05-25,1020,Accessory Kit,79,Lead,16247.97,0.121,2023-08-20,20230525,1966.0,87,0,0
12,2022-11-05,110,Legacy Workstation,20,Proposal,33131.35,0.405,2023-04-18,20221105,13418.2,164,0,0
13,2024-06-05,417,Laptop Pro,80,Negotiation,67668.66,0.49,2024-07-20,20240605,33157.64,45,0,0
14,2025-07-16,355,Laptop Pro,50,Negotiation,41442.32,0.519,2026-02-19,20250716,21508.56,218,0,0
15,2023-12-05,1162,Industrial Scanner,37,Proposal,4245.42,0.448,2024-01-03,20231205,1901.95,29,0,0
16,2025-08-30,570,Service Contract,17,Qualified,37887.15,0.366,2025-12-13,20250830,13866.7,105,0,0
17,2024-09-08,854,Legacy Workstation,38,Closed Lost,102464.98,0.101,2024-11-21,20240908,10348.96,74,0,1
18,2024-04-23,898,Tablet Enterprise,63,Lead,3620.79,0.062,2024-10-31,20240423,224.49,191,0,0
19,2023-12-08,988,Service Contract,66,Proposal,2290.36,0.429,2024-01-25,20231208,982.56,48,0,0
20,2023-12-12,303,Tablet Enterprise,37,Proposal,40770.34,0.408,2024-06-20,20231212,16634.3,191,0,0
21,2025-11-14,734,Monitoring Device,65,Closed Lost,5647.02,0.0,2026-05-12,20251114,0.0,179,0,1
22,2023-01-18,189,Monitoring Device,48,Lead,11088.98,0.08,2023-06-19,20230118,887.12,152,0,0
23,2023-04-16,349,Laptop Pro,79,Closed Won,40216.18,0.985,2023-05-26,20230416,39612.94,40,1,0
24,2024-10-09,224,Legacy Workstation,23,Lead,4375.67,0.132,2025-01-29,20241009,577.59,112,0,0
25,2021-02-28,37,Industrial Scanner,71,Qualified,14686.18,0.305,2021-09-20,20210228,4479.28,204,0,0
