return_id,sales_id,date_id,return_date,customer_id,product_id,region_id,return_units,return_value_eur,return_reason
1,41007,20240303,2024-03-03,270,1016,8,2,2198.06,Wrong Configuration
2,9518,20230325,2023-03-25,953,1054,3,6,2895.6,Defect
3,38983,20250801,2025-08-01,763,1133,6,2,136.27,Wrong Configuration
4,3136,20240322,2024-03-22,611,1128,6,8,902.81,Wrong Configuration
5,38281,20230711,2023-07-11,202,1016,8,4,4118.99,Shipping Damage
6,58559,20251205,2025-12-05,662,1176,3,9,396.45,Wrong Configuration
7,86228,20240619,2024-06-19,170,1066,9,6,1233.73,Customer Cancellation
8,62784,20251112,2025-11-12,1081,1055,4,10,4778.57,Customer Cancellation
9,31626,20251231,2025-12-31,399,1033,5,19,13265.47,Customer Cancellation
10,94887,20240928,2024-09-28,2,1078,6,15,2481.38,Customer Cancellation
11,92529,20231220,2023-12-20,982,1038,1,73,27878.88,Defect
12,93579,20251125,2025-11-25,517,1149,7,10,6833.15,Wrong Configuration
13,66690,20251003,2025-10-03,367,1004,6,9,9654.77,Wrong Configuration
14,102951,20240127,2024-01-27,20,1146,5,7,3686.55,Wrong Configuration
15,23166,20251213,2025-12-13,1158,1085,6,40,23284.95,Other
16,109153,20251208,2025-12-08,517,1164,7,43,1913.55,Defect
17,11930,20251223,2025-12-23,16,1075,4,6,1309.65,Wrong Configuration
18,13566,20250409,2025-04-09,217,1018,4,1,864.34,Wrong Configuration
19,107310,20240530,2024-05-30,952,1163,3,3,171.0,Customer Cancellation
20,82376,20221012,2022-10-12,622,1044,9,1,362.78,Wrong Configuration
21,20403,20251120,2025-11-20,179,1120,6,2,178.01,Wrong Configuration
22,67282,20250418,2025-04-18,304,1130,10,1,90.07,Customer Cancellation
23,110281,20250719,2025-07-19,473,1128,6,5,504.49,Shipping Damage
24,92526,20250908,2025-09-08,265,1073,2,3,425.63,Customer Cancellation
25,50182,20250406,2025-04-06,193,1191,8,1,194.87,Defect
26,22218,20240621,2024-06-21,296,1092,1,5,3479.68,Defect
27,17811,20240804,2024-08-04,1128,1037,7,8,5614.66,Defect
28,34457,20240314,2024-03-14,534,1116,5,8,10772.13,Shipping Damage
29,40249,20241013,2024-10-13,988,1110,4,18,21133.48,Customer Cancellation
30,32783,20220216,2022-02-16,30,1113,1,2,2895.32,Shipping Damage
31,84890,20250704,2025-07-04,170,1130,9,3,258.31,Customer Cancellation
32,75673,20250805,2025-08-05,130,1196,3,25,5600.25,Defect
33,48265,20251012,2025-10-12,568,1107,2,2,2924.47,Other
34,18392,20231217,2023-12-17,193,1124,8,9,731.98,Wrong Configuration
35,107346,20220824,2022-08-24,946,1160,3,4,210.14,Defect
36,45707,20240206,2024-02-06,21,1049,2,6,2931.84,Other
37,95705,20250130,2025-01-30,373,1139,6,1,87.92,Defect
38,42701,20250513,2025-05-13,534,1032,5,17,8817.94,Wrong Configuration
39,91438,20240303,2024-03-03,1020,1121,5,26,2417.72,Defect
40,92640,20221222,2022-12-22,656,1176,2,10,568.18,Defect
41,98486,20240707,2024-07-07,620,1181,3,4,1137.5,Defect
42,109004,20251024,2025-10-24,224,1071,2,4,651.23,Defect
43,94572,20241104,2024-11-04,728,1017,8,7,7098.18,Defect
44,30693,20250202,2025-02-02,1094,1182,5,1,281.8,Defect
45,52819,20251215,2025-12-15,316,1014,7,4,3258.26,Other
46,19023,20251112,2025-11-12,390,1084,8,2,1258.28,Shipping Damage
47,49393,20240725,2024-07-25,400,1104,3,2,2934.08,Customer Cancellation
48,98471,20230625,2023-06-25,1020,1175,5,2,117.94,Shipping Damage
49,108832,20250127,2025-01-27,207,1050,6,1,422.06,Defect
50,93359,20241007,2024-10-07,419,1005,1,20,24089.99,Defect
51,104789,20250405,2025-04-05,478,1161,9,1,48.77,Shipping Damage
52,68578,20241223,2024-12-23,636,1182,3,9,2086.5,Wrong Configuration
53,112092,20240825,2024-08-25,480,1093,1,10,8277.86,Wrong Configuration
54,100307,20250819,2025-08-19,85,1066,1,18,3039.61,Wrong Configuration
55,5585,20240805,2024-08-05,567,1011,3,1,935.66,Defect
56,58574,20230110,2023-01-10,723,1070,5,1,272.63,Defect
57,104651,20221116,2022-11-16,85,1191,1,28,3941.11,Defect
58,66494,20240412,2024-04-12,205,1028,5,12,6203.87,Wrong Configuration
59,110883,20250509,2025-05-09,924,1113,1,2,3160.77,Defect
60,102072,20241119,2024-11-19,248,1040,10,29,8814.77,Shipping Damage
61,6698,20241202,2024-12-02,409,1185,4,2,411.69,Defect
62,31010,20221005,2022-10-05,585,1024,2,39,17671.84,Wrong Configuration
63,11538,20231104,2023-11-04,1164,1014,6,8,6722.87,Wrong Configuration
